,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181
2048708,2016-02-27,42,Beauty,7.0,0,32.013333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,2,2016,4.0,6.0,3.4285714285714284,3.0,2.7777777777777777,5.0,6.636363636363637,4.0,6.461538461538462,2.0,8.2
2050490,2016-02-28,42,Beauty,7.0,0,32.376666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,2,2016,2.0,4.0,4.285714285714286,2.0,2.4444444444444446,4.0,6.545454545454546,11.0,6.076923076923077,11.0,7.866666666666666
2052272,2016-02-29,42,Beauty,7.0,0,32.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,2,2016,6.0,1.0,4.571428571428571,1.0,2.5555555555555554,7.0,7.0,9.0,5.384615384615385,6.0,7.4
2054054,2016-03-01,42,Beauty,4.0,0,34.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,2016,6.0,3.0,4.142857142857143,8.0,2.7777777777777777,4.0,6.818181818181818,5.0,5.384615384615385,7.0,6.866666666666666
2055836,2016-03-02,42,Beauty,7.0,0,34.57,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,3,2016,2.0,9.0,4.142857142857143,3.0,3.3333333333333335,10.0,6.545454545454546,1.0,5.461538461538462,6.0,6.266666666666667
2057618,2016-03-03,42,Beauty,3.0,0,34.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,2016,4.0,4.0,4.428571428571429,3.0,3.6666666666666665,18.0,6.0,7.0,5.3076923076923075,3.0,5.866666666666666
2059400,2016-03-04,42,Beauty,4.0,0,35.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,3,2016,4.0,2.0,4.571428571428571,3.0,3.888888888888889,2.0,6.363636363636363,8.0,5.3076923076923075,3.0,5.533333333333333
2061182,2016-03-05,42,Beauty,14.0,0,36.57333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,3,2016,3.0,6.0,4.714285714285714,2.0,3.888888888888889,8.0,6.636363636363637,4.0,5.384615384615385,4.0,5.266666666666667
2062964,2016-03-06,42,Beauty,8.0,0,37.236666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,3,2016,3.0,6.0,4.0,5.0,3.3333333333333335,2.0,6.2727272727272725,7.0,4.846153846153846,10.0,5.533333333333333
2064746,2016-03-07,42,Beauty,4.0,0,37.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,3,2016,8.0,2.0,3.857142857142857,6.0,4.0,6.0,6.545454545454546,6.0,4.6923076923076925,12.0,5.333333333333333
2066528,2016-03-08,42,Beauty,1.0,0,36.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,3,2016,10.0,4.0,4.0,4.0,4.111111111111111,0.0,5.636363636363637,5.0,4.846153846153846,5.0,5.133333333333334
2068310,2016-03-09,42,Beauty,5.0,0,37.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,3,2016,7.0,4.0,4.285714285714286,1.0,4.0,9.0,4.2727272727272725,1.0,5.153846153846154,3.0,4.733333333333333
2070092,2016-03-10,42,Beauty,7.0,0,37.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3,3,2016,10.0,3.0,4.857142857142857,3.0,4.444444444444445,7.0,4.2727272727272725,1.0,5.0,3.0,4.533333333333333
