,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181
2048709,2016-02-27,42,Beverages,3444.0,57,32.013333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,2,2016,2079.0,3263.0,2090.0,1457.0,2271.3333333333335,1908.0,2585.909090909091,1711.0,2205.153846153846,1749.0,2666.0
2050491,2016-02-28,42,Beverages,3268.0,56,32.376666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,2,2016,1922.0,1431.0,2156.4285714285716,1734.0,2155.5555555555557,1877.0,2660.181818181818,2904.0,2161.769230769231,3586.0,2783.6
2052273,2016-02-29,42,Beverages,1937.0,14,32.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,2,2016,2719.0,1343.0,2160.1428571428573,2863.0,2205.6666666666665,2516.0,2645.909090909091,3711.0,2140.230769230769,3664.0,2839.6
2054055,2016-03-01,42,Beverages,2241.0,17,34.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,2016,2978.0,1584.0,2045.857142857143,3258.0,2261.4444444444443,2555.0,2618.818181818182,1779.0,2272.4615384615386,2189.0,2728.4666666666667
2055837,2016-03-02,42,Beverages,2702.0,13,34.57,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,3,2016,2205.0,2699.0,1968.142857142857,2961.0,2377.777777777778,3409.0,2547.090909090909,2123.0,2309.6923076923076,2773.0,2678.0666666666666
2057619,2016-03-03,42,Beverages,2085.0,13,34.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,2016,1952.0,2079.0,2189.1428571428573,2118.0,2578.4444444444443,4120.0,2511.7272727272725,2499.0,2302.6153846153848,3212.0,2683.733333333333
2059401,2016-03-04,42,Beverages,1896.0,10,35.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,3,2016,1903.0,1922.0,2312.285714285714,2234.0,2544.777777777778,3083.0,2632.5454545454545,1693.0,2315.6923076923076,2314.0,2671.3333333333335
2061183,2016-03-05,42,Beverages,3344.0,16,36.57333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,3,2016,1627.0,2719.0,2364.8571428571427,2053.0,2375.8888888888887,2318.0,2768.181818181818,1830.0,2338.846153846154,2066.0,2666.4666666666667
2062965,2016-03-06,42,Beverages,3362.0,14,37.236666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,3,2016,1792.0,2978.0,2251.1428571428573,2722.0,2189.8888888888887,2091.0,2710.181818181818,3085.0,2236.4615384615386,4642.0,2807.133333333333
2064747,2016-03-07,42,Beverages,1991.0,7,37.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,3,2016,2908.0,2205.0,2186.5714285714284,3263.0,2160.777777777778,1857.0,2605.6363636363635,3351.0,2183.3076923076924,4572.0,2810.6
2066529,2016-03-08,42,Beverages,1505.0,3,36.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,3,2016,3326.0,1952.0,2168.0,1431.0,2156.4444444444443,1895.0,2462.5454545454545,2028.0,2279.6153846153848,2161.0,2702.6
