,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181
2048718,2016-02-27,42,Grocery i,3632.0,7,32.013333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,2,2016,2990.0,3628.0,2522.714285714286,1848.0,2771.6666666666665,2230.0,3418.0,1968.0,2749.769230769231,2075.0,3466.0
2050500,2016-02-28,42,Grocery i,3694.0,16,32.376666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,2,2016,2544.0,1673.0,2619.1428571428573,2059.0,2694.6666666666665,2422.0,3441.7272727272725,3404.0,2694.923076923077,4135.0,3495.9333333333334
2052282,2016-02-29,42,Grocery i,2324.0,13,32.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,2,2016,3782.0,1467.0,2664.285714285714,3381.0,2774.0,3281.0,3279.4545454545455,3949.0,2685.3076923076924,4278.0,3490.866666666667
2054064,2016-03-01,42,Grocery i,3405.0,13,34.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,2016,3623.0,2069.0,2584.5714285714284,4160.0,2836.3333333333335,2908.0,3198.181818181818,2340.0,2832.6923076923076,2873.0,3354.5333333333333
2055846,2016-03-02,42,Grocery i,3452.0,14,34.57,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,3,2016,3036.0,3721.0,2606.5714285714284,3486.0,2944.222222222222,4343.0,3123.181818181818,2849.0,2879.923076923077,3719.0,3268.6
2057628,2016-03-03,42,Grocery i,2683.0,11,34.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,2016,2769.0,2990.0,2885.1428571428573,2742.0,3142.0,4647.0,3110.7272727272725,3261.0,2877.0,3782.0,3254.133333333333
2059410,2016-03-04,42,Grocery i,2635.0,18,35.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,3,2016,2691.0,2544.0,3109.285714285714,3046.0,3099.1111111111113,4178.0,3252.909090909091,2323.0,2918.923076923077,3016.0,3216.4
2061192,2016-03-05,42,Grocery i,4313.0,20,36.57333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,3,2016,2161.0,3782.0,3209.285714285714,2674.0,2886.4444444444443,3010.0,3401.0,2317.0,3805.5384615384614,2468.0,3198.6666666666665
2062974,2016-03-06,42,Grocery i,3913.0,15,37.236666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,3,2016,2312.0,3623.0,3062.1428571428573,3102.0,2654.1111111111113,2824.0,3347.3636363636365,3797.0,3713.5384615384614,4963.0,3326.266666666667
2064756,2016-03-07,42,Grocery i,2815.0,13,37.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,3,2016,3657.0,3036.0,2943.714285714286,3628.0,2680.222222222222,2243.0,3255.3636363636365,4185.0,3655.230769230769,5155.0,3317.266666666667
