,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181
2048724,2016-02-27,42,Home care,242.0,0,32.013333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,2,2016,201.0,255.0,168.28571428571428,134.0,190.44444444444446,158.0,218.8181818181818,140.0,187.0,168.0,291.4
2050506,2016-02-28,42,Home care,232.0,0,32.376666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,2,2016,130.0,100.0,179.57142857142858,121.0,183.0,192.0,231.36363636363637,252.0,182.6153846153846,361.0,299.6666666666667
2052288,2016-02-29,42,Home care,180.0,1,32.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,2,2016,227.0,90.0,185.42857142857142,235.0,190.22222222222223,183.0,233.1818181818182,289.0,176.6153846153846,366.0,300.2
2054070,2016-03-01,42,Home care,248.0,0,34.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,2016,273.0,154.0,171.57142857142858,308.0,192.55555555555554,173.0,235.8181818181818,154.0,188.84615384615384,262.0,285.3333333333333
2055852,2016-03-02,42,Home care,232.0,0,34.57,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,3,2016,173.0,271.0,167.57142857142858,257.0,201.33333333333334,317.0,227.1818181818182,167.0,192.23076923076923,315.0,279.8666666666667
2057634,2016-03-03,42,Home care,162.0,0,34.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,2016,189.0,201.0,192.28571428571428,178.0,214.77777777777777,395.0,220.45454545454547,231.0,193.15384615384616,335.0,279.8666666666667
2059416,2016-03-04,42,Home care,138.0,1,35.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,3,2016,167.0,130.0,204.14285714285714,192.0,212.44444444444446,291.0,230.72727272727272,148.0,197.69230769230768,259.0,275.6666666666667
2061198,2016-03-05,42,Home care,295.0,0,36.57333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,3,2016,135.0,227.0,209.14285714285714,160.0,196.33333333333334,221.0,236.8181818181818,139.0,197.07692307692307,187.0,272.73333333333335
2062980,2016-03-06,42,Home care,346.0,1,37.236666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,3,2016,81.0,273.0,194.28571428571428,227.0,179.22222222222223,192.0,238.1818181818182,239.0,186.92307692307693,447.0,283.3333333333333
2064762,2016-03-07,42,Home care,181.0,0,37.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,3,2016,248.0,173.0,184.85714285714286,255.0,180.77777777777777,158.0,235.0909090909091,329.0,179.76923076923077,479.0,281.93333333333334
2066544,2016-03-08,42,Home care,126.0,0,36.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,3,2016,288.0,189.0,177.85714285714286,100.0,183.33333333333334,145.0,218.36363636363637,176.0,189.53846153846155,241.0,269.93333333333334
2068326,2016-03-09,42,Home care,177.0,1,37.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,3,2016,165.0,167.0,180.85714285714286,90.0,176.44444444444446,271.0,194.8181818181818,147.0,188.53846153846155,195.0,262.06666666666666
2070108,2016-03-10,42,Home care,130.0,1,37.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3,3,2016,162.0,135.0,183.0,154.0,183.88888888888889,259.0,180.0,159.0,181.46153846153845,179.0,255.73333333333332
2071890,2016-03-11,42,Home care,137.0,1,38.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,4,3,2016,152.0,81.0,181.85714285714286,271.0,189.0,198.0,184.0909090909091,132.0,183.3846153846154,155.0,243.66666666666666
2073672,2016-03-12,42,Home care,214.0,0,38.07333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,5,3,2016,110.0,248.0,178.0,201.0,179.88888888888889,139.0,188.8181818181818,120.0,181.3846153846154,142.0,237.0
2075454,2016-03-13,42,Home care,255.0,1,37.63666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,6,3,2016,97.0,288.0,175.85714285714286,130.0,189.77777777777777,133.0,188.1818181818182,196.0,172.3846153846154,327.0,244.33333333333334
2077236,2016-03-14,42,Home care,129.0,1,37.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,3,2016,242.0,165.0,172.28571428571428,227.0,198.33333333333334,136.0,182.9090909090909,281.0,163.23076923076923,340.0,235.53333333333333
2079018,2016-03-15,42,Home care,146.0,0,36.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1,3,2016,232.0,162.0,174.57142857142858,273.0,196.22222222222223,128.0,174.27272727272728,154.0,172.3846153846154,186.0,215.13333333333333
2080800,2016-03-16,42,Home care,188.0,1,38.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2,3,2016,180.0,152.0,173.71428571428572,173.0,175.11111111111111,266.0,161.54545454545453,139.0,173.76923076923077,144.0,208.06666666666666
2082582,2016-03-17,42,Home care,121.0,2,40.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,3,3,2016,248.0,110.0,165.71428571428572,189.0,180.33333333333334,244.0,155.0,173.0,173.30769230769232,220.0,205.4
2084364,2016-03-18,42,Home care,132.0,0,39.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,4,3,2016,232.0,97.0,167.85714285714286,167.0,197.88888888888889,151.0,166.27272727272728,113.0,178.6153846153846,154.0,201.0
2086146,2016-03-19,42,Home care,239.0,1,39.61666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,5,3,2016,162.0,242.0,180.14285714285714,135.0,191.0,87.0,176.45454545454547,122.0,181.92307692307693,159.0,199.13333333333333
2087928,2016-03-20,42,Home care,247.0,0,39.76333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,6,3,2016,138.0,232.0,191.57142857142858,81.0,178.66666666666666,176.0,175.63636363636363,210.0,186.30769230769232,297.0,210.0
2089710,2016-03-21,42,Home care,162.0,0,39.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0,3,2016,295.0,180.0,199.0,248.0,176.33333333333334,119.0,176.63636363636363,295.0,181.53846153846155,315.0,211.06666666666666
2091492,2016-03-22,42,Home care,131.0,0,41.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,1,3,2016,346.0,248.0,204.85714285714286,288.0,167.55555555555554,126.0,165.9090909090909,165.0,181.84615384615384,173.0,198.33333333333334
2093274,2016-03-23,42,Home care,153.0,1,38.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,2,3,2016,181.0,232.0,212.42857142857142,165.0,159.77777777777777,263.0,155.9090909090909,153.0,185.92307692307693,135.0,197.13333333333333
2095056,2016-03-24,42,Home care,123.0,1,38.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,3,3,2016,126.0,162.0,228.71428571428572,162.0,171.66666666666666,245.0,153.1818181818182,201.0,186.69230769230768,155.0,201.13333333333333
2096838,2016-03-25,42,Home care,120.0,0,38.1025,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25,4,3,2016,177.0,138.0,228.85714285714286,152.0,188.44444444444446,127.0,166.63636363636363,163.0,191.30769230769232,113.0,204.66666666666666
2098620,2016-03-26,42,Home care,226.0,1,38.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,5,3,2016,130.0,295.0,211.42857142857142,110.0,180.88888888888889,139.0,178.63636363636363,253.0,206.30769230769232,127.0,207.73333333333332
2100402,2016-03-27,42,Home care,229.0,1,38.0275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,6,3,2016,137.0,346.0,203.57142857142858,97.0,176.44444444444446,148.0,191.1818181818182,219.0,220.53846153846155,305.0,225.86666666666667
2102184,2016-03-28,42,Home care,176.0,1,37.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0,3,2016,214.0,181.0,199.0,242.0,183.88888888888889,134.0,195.9090909090909,158.0,220.23076923076923,343.0,234.73333333333332
2103966,2016-03-29,42,Home care,150.0,0,36.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,1,3,2016,255.0,126.0,198.85714285714286,232.0,183.88888888888889,121.0,189.45454545454547,192.0,224.53846153846155,149.0,228.8
2105748,2016-03-30,42,Home care,151.0,1,36.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,2,3,2016,129.0,177.0,187.28571428571428,180.0,182.33333333333334,235.0,181.72727272727272,183.0,227.53846153846155,168.0,229.33333333333334
2107530,2016-03-31,42,Home care,140.0,0,36.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,3,3,2016,146.0,130.0,174.28571428571428,248.0,202.88888888888889,308.0,190.8181818181818,173.0,224.23076923076923,204.0,231.46666666666667
2109312,2016-04-01,42,Home care,207.0,1,35.36,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,4,4,2016,188.0,137.0,166.85714285714286,232.0,230.55555555555554,257.0,201.36363636363637,317.0,222.84615384615384,273.0,230.66666666666666
2111094,2016-04-02,42,Home care,328.0,0,35.00666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,4,2016,121.0,214.0,169.71428571428572,162.0,223.77777777777777,178.0,197.0,395.0,224.23076923076923,200.0,241.0
2112876,2016-04-03,42,Home care,374.0,0,34.65333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6,4,2016,132.0,255.0,171.28571428571428,138.0,212.0,192.0,193.0,291.0,227.30769230769232,431.0,248.86666666666667
2114658,2016-04-04,42,Home care,200.0,0,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,4,2016,239.0,129.0,170.0,295.0,211.66666666666666,160.0,196.0,221.0,230.3846153846154,430.0,248.2
2116440,2016-04-05,42,Home care,144.0,1,34.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,4,2016,247.0,146.0,169.28571428571428,346.0,198.55555555555554,227.0,199.27272727272728,192.0,226.30769230769232,226.0,237.26666666666668
2118222,2016-04-06,42,Home care,184.0,1,37.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,4,2016,162.0,188.0,172.85714285714286,181.0,188.0,255.0,189.54545454545453,158.0,222.46153846153845,181.0,235.8
2120004,2016-04-07,42,Home care,135.0,0,37.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3,4,2016,131.0,121.0,171.71428571428572,126.0,193.77777777777777,100.0,178.0,145.0,219.6153846153846,167.0,234.26666666666668
2121786,2016-04-08,42,Home care,132.0,0,39.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,4,4,2016,153.0,132.0,176.42857142857142,177.0,206.77777777777777,90.0,182.45454545454547,271.0,205.07692307692307,143.0,230.2
2123568,2016-04-09,42,Home care,217.0,0,39.980000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,5,4,2016,123.0,239.0,174.28571428571428,130.0,188.33333333333334,154.0,189.8181818181818,259.0,195.15384615384616,268.0,222.33333333333334
2125350,2016-04-10,42,Home care,265.0,0,40.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,6,4,2016,120.0,247.0,169.28571428571428,137.0,166.11111111111111,271.0,191.0,198.0,191.53846153846155,245.0,227.13333333333333
2127132,2016-04-11,42,Home care,151.0,0,40.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,4,2016,226.0,162.0,169.57142857142858,214.0,166.88888888888889,201.0,187.54545454545453,139.0,186.15384615384616,295.0,222.66666666666666
2128914,2016-04-12,42,Home care,157.0,2,42.12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1,4,2016,229.0,131.0,167.85714285714286,255.0,166.33333333333334,130.0,179.54545454545453,133.0,178.07692307692307,179.0,207.2
2130696,2016-04-13,42,Home care,159.0,4,41.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2,4,2016,176.0,153.0,166.0,129.0,161.33333333333334,227.0,182.72727272727272,136.0,179.46153846153845,127.0,201.46666666666667
2132478,2016-04-14,42,Home care,127.0,2,41.45,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,3,4,2016,150.0,123.0,163.42857142857142,146.0,173.44444444444446,273.0,181.9090909090909,128.0,177.46153846153845,145.0,200.13333333333333
2134260,2016-04-15,42,Home care,107.0,1,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,4,4,2016,151.0,120.0,165.42857142857142,188.0,185.66666666666666,173.0,190.45454545454547,266.0,166.30769230769232,143.0,197.93333333333334
2136042,2016-04-16,42,Home care,296.0,5,40.18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,5,4,2016,140.0,226.0,168.14285714285714,121.0,179.88888888888889,189.0,192.0,244.0,166.6153846153846,155.0,197.53333333333333
