,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181
2048730,2016-02-27,42,Meats,258.486,1,32.013333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,2,2016,184.517,261.446,190.47228571428568,135.90001,193.6386688888889,166.59,190.74436363636366,210.22299,184.35161384615384,238.184,214.28993200000002
2050512,2016-02-28,42,Meats,193.505,1,32.376666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,2,2016,218.143,179.231,195.7962857142857,199.70801,185.50622444444446,176.24701,192.91536363636362,205.626,188.45799846153847,249.587,207.13926533333333
2052294,2016-02-29,42,Meats,129.848,1,32.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,2,2016,269.913,119.264,191.85171428571428,250.67,191.44389111111113,201.062,184.43918181818182,261.302,186.72053692307693,195.824,203.72133333333335
2054076,2016-03-01,42,Meats,178.686,1,34.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,2016,186.451,102.899,184.52,209.226,198.53255777777775,179.581,188.3289109090909,158.704,190.16492230769234,140.613,199.8484
2055858,2016-03-02,42,Meats,220.216,1,34.57,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,3,2016,165.775,226.14,185.72957142857143,224.328,206.80955777777777,239.416,182.54427454545456,171.75099,194.52515384615387,223.963,199.99733333333333
2057640,2016-03-03,42,Meats,173.252,1,34.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,2016,177.16,184.517,186.761,170.988,220.75911222222223,228.241,194.96436545454546,178.543,193.8470769230769,210.077,198.79906666666668
2059422,2016-03-04,42,Meats,261.99402,36,35.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,3,2016,201.638,218.143,193.40542857142856,188.872,218.48388888888888,176.457,199.19654727272726,168.141,193.6042307692308,189.432,196.53186666666667
2061204,2016-03-05,42,Meats,302.79498,1,36.57333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,3,2016,152.457,269.913,204.01414285714287,212.129,203.8832222222222,140.818,204.30554636363638,256.999,189.49377,213.431,197.874
2062986,2016-03-06,42,Meats,280.974,0,37.236666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,3,2016,216.666,186.451,200.51385714285715,269.465,192.0691111111111,197.54001,199.1077281818182,202.349,188.29369307692312,234.364,201.43006666666668
2064768,2016-03-07,42,Meats,169.472,1,37.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,3,2016,266.871,165.775,195.9338571428571,261.446,192.27044444444442,159.795,195.57372818181818,209.18001,183.39053923076924,258.733,202.5447333333333
