,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181,sales_lag363,sales_window17_lag363
666013,2014-01-10,46,Cleaning,1975.0,0,92.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,1,2014,4362.0,2251.0,2469.8571428571427,1884.0,2187.222222222222,2848.0,1864.3636363636363,1119.0,2019.6153846153845,1377.0,1897.2666666666667,1283.0,2341.3529411764707
667795,2014-01-11,46,Cleaning,3062.0,0,92.07666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,5,1,2014,3115.0,1933.0,2617.285714285714,1584.0,2356.6666666666665,3470.0,1790.2727272727273,2153.0,1986.076923076923,1336.0,1886.0,1532.0,2279.8823529411766
669577,2014-01-12,46,Cleaning,3341.0,0,91.76333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,6,1,2014,2675.0,2177.0,2938.0,1700.0,2402.6666666666665,1522.0,1869.7272727272727,2215.0,1804.076923076923,2265.0,1917.3333333333333,2613.0,2354.294117647059
671359,2014-01-13,46,Cleaning,1711.0,0,91.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,1,2014,2760.0,3720.0,3139.0,1633.0,2277.222222222222,1262.0,1985.090909090909,2833.0,1714.2307692307693,2740.0,1862.9333333333334,3535.0,2330.705882352941
673141,2014-01-14,46,Cleaning,1394.0,0,92.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,1,2014,3526.0,4415.0,3199.5714285714284,1771.0,2076.1111111111113,1303.0,1968.0,1340.0,1774.076923076923,1687.0,1770.6666666666667,1643.0,2190.470588235294
674923,2014-01-15,46,Cleaning,1565.0,0,93.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,1,2014,4032.0,4362.0,3317.714285714286,2905.0,2116.8888888888887,1100.0,1950.7272727272727,1040.0,1794.923076923077,1563.0,1750.4,1565.0,1994.4705882352941
676705,2014-01-16,46,Cleaning,1407.0,0,93.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,1,2014,4607.0,3115.0,3510.4285714285716,3383.0,2155.6666666666665,1377.0,1839.6363636363637,1444.0,1800.923076923077,1450.0,1755.4,1764.0,1951.3529411764705
678487,2014-01-17,46,Cleaning,1684.0,0,93.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,4,1,2014,2724.0,2675.0,3555.0,2117.0,2208.6666666666665,2708.0,1631.5454545454545,1393.0,1819.5384615384614,1190.0,1751.5333333333333,1538.0,1931.0
680269,2014-01-18,46,Cleaning,3151.0,0,94.0975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,1,2014,3365.0,2760.0,3582.4285714285716,1708.0,2440.5555555555557,3083.0,1613.1818181818182,1206.0,1752.3076923076924,1417.0,1762.8,1471.0,2001.1764705882354
682051,2014-01-19,46,Cleaning,3316.0,0,94.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,6,1,2014,2648.0,3526.0,3348.4285714285716,2251.0,2734.3333333333335,1527.0,1735.2727272727273,2692.0,1683.076923076923,2324.0,1848.6,2832.0,2114.705882352941
