,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181,sales_lag363,sales_window17_lag363
666135,2014-01-10,49,Produce,5323.832,0,92.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,1,2014,27.0,12.0,20.142857142857142,1.0,19.11111111111111,32.0,9.727272727272727,16.0,13.076923076923077,4.0,13.133333333333333,0.0,0.0
667917,2014-01-11,49,Produce,6545.861,0,92.07666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,5,1,2014,26.0,16.0,21.857142857142858,6.0,19.11111111111111,24.0,11.363636363636363,2.0,12.23076923076923,24.0,14.2,0.0,0.0
669699,2014-01-12,49,Produce,8016.817,0,91.76333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,6,1,2014,8.0,36.0,25.0,5.0,18.11111111111111,3.0,13.363636363636363,35.0,12.538461538461538,39.0,14.533333333333333,0.0,0.0
671481,2014-01-13,49,Produce,5744.018,0,91.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,1,2014,18.0,38.0,27.428571428571427,15.0,13.777777777777779,4.0,14.0,17.0,14.076923076923077,22.0,13.666666666666666,0.0,0.0
673263,2014-01-14,49,Produce,4457.756,0,92.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,1,2014,8.0,37.0,26.857142857142858,23.0,13.444444444444445,3.0,13.363636363636363,0.0,15.846153846153847,0.0,12.866666666666667,0.0,0.0
675045,2014-01-15,49,Produce,6881.3037,0,93.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,1,2014,0.0,27.0,27.142857142857142,32.0,14.666666666666666,4.0,12.090909090909092,4.0,15.846153846153847,0.0,12.8,0.0,0.0
676827,2014-01-16,49,Produce,4678.562,0,93.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,1,2014,0.0,26.0,23.142857142857142,25.0,15.777777777777779,18.0,9.272727272727273,1.0,15.538461538461538,4.0,13.133333333333333,0.0,0.0
678609,2014-01-17,49,Produce,5653.761,0,93.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,4,1,2014,0.0,8.0,17.714285714285715,5.0,19.22222222222222,27.0,7.545454545454546,17.0,14.538461538461538,5.0,13.8,0.0,0.0
680391,2014-01-18,49,Produce,7180.979,0,94.0975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,1,2014,7361.89,18.0,12.428571428571429,9.0,21.77777777777778,17.0,8.454545454545455,36.0,14.692307692307692,27.0,14.8,0.0,0.0
682173,2014-01-19,49,Produce,7524.953,0,94.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,6,1,2014,6346.454,8.0,8.571428571428571,12.0,23.333333333333332,0.0,12.454545454545455,49.0,14.23076923076923,23.0,16.533333333333335,0.0,0.0
683955,2014-01-20,49,Produce,5105.41,0,94.3725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,1,2014,7663.025,0.0,1056.5557142857144,16.0,22.77777777777778,1.0,15.0,23.0,16.615384615384617,28.0,14.733333333333333,0.0,0.0
