,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181,sales_lag363,sales_window17_lag363
666221,2014-01-10,51,Home appliances,0.0,0,92.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,1,2014,2.0,1.0,0.7142857142857143,0.0,1.2222222222222223,3.0,1.5454545454545454,1.0,0.8461538461538461,1.0,1.1333333333333333,0.0,0.0
668003,2014-01-11,51,Home appliances,4.0,0,92.07666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,5,1,2014,0.0,1.0,0.8571428571428571,2.0,1.5555555555555556,1.0,1.7272727272727273,0.0,0.6923076923076923,2.0,1.3333333333333333,0.0,0.0
669785,2014-01-12,51,Home appliances,0.0,0,91.76333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,6,1,2014,0.0,0.0,1.1428571428571428,2.0,1.6666666666666667,1.0,1.9090909090909092,0.0,0.6153846153846154,0.0,1.6,0.0,0.0
671567,2014-01-13,51,Home appliances,0.0,0,91.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,1,2014,0.0,1.0,1.0,1.0,1.6666666666666667,0.0,1.9090909090909092,3.0,0.46153846153846156,0.0,1.4666666666666666,0.0,0.0
673349,2014-01-14,51,Home appliances,0.0,0,92.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,1,2014,0.0,2.0,0.8571428571428571,2.0,1.3333333333333333,2.0,1.8181818181818181,0.0,0.46153846153846156,0.0,1.3333333333333333,0.0,0.0
675131,2014-01-15,51,Home appliances,0.0,0,93.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,1,2014,0.0,2.0,0.7142857142857143,3.0,1.4444444444444444,2.0,1.8181818181818181,0.0,0.38461538461538464,0.0,1.3333333333333333,0.0,0.0
676913,2014-01-16,51,Home appliances,0.0,0,93.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,1,2014,1.0,0.0,0.7142857142857143,1.0,1.3333333333333333,2.0,1.6363636363636365,0.0,0.3076923076923077,2.0,1.0,0.0,0.0
678695,2014-01-17,51,Home appliances,1.0,0,93.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,4,1,2014,0.0,0.0,0.5714285714285714,0.0,1.1111111111111112,6.0,1.5454545454545454,0.0,0.23076923076923078,3.0,1.1333333333333333,0.0,0.0
680477,2014-01-18,51,Home appliances,1.0,0,94.0975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,1,2014,0.0,0.0,0.42857142857142855,1.0,1.1111111111111112,1.0,1.5454545454545454,0.0,0.23076923076923078,3.0,1.1333333333333333,0.0,0.0
682259,2014-01-19,51,Home appliances,0.0,0,94.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,6,1,2014,2.0,0.0,0.14285714285714285,1.0,1.1111111111111112,0.0,1.7272727272727273,0.0,0.23076923076923078,4.0,1.0,0.0,0.0
684041,2014-01-20,51,Home appliances,3.0,0,94.3725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,1,2014,0.0,0.0,0.14285714285714285,1.0,1.0,2.0,1.7272727272727273,0.0,0.0,0.0,1.0666666666666667,0.0,0.0
685823,2014-01-21,51,Home appliances,1.0,0,94.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1,1,2014,0.0,1.0,0.42857142857142855,0.0,0.8888888888888888,1.0,1.7272727272727273,0.0,0.0,0.0,1.2666666666666666,0.0,0.0
687605,2014-01-22,51,Home appliances,1.0,0,96.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,2,1,2014,0.0,0.0,0.42857142857142855,1.0,0.8888888888888888,0.0,1.5454545454545454,0.0,0.0,0.0,1.3333333333333333,0.0,0.0
689387,2014-01-23,51,Home appliances,2.0,0,97.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,3,1,2014,0.0,0.0,0.42857142857142855,2.0,0.7777777777777778,1.0,1.0,0.0,0.0,0.0,1.6,0.0,0.0
691169,2014-01-24,51,Home appliances,2.0,0,96.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,4,1,2014,0.0,2.0,0.42857142857142855,2.0,0.6666666666666666,2.0,1.0,0.0,0.0,2.0,1.4666666666666666,0.0,0.0
692951,2014-01-25,51,Home appliances,1.0,0,96.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,5,1,2014,0.0,0.0,0.2857142857142857,0.0,0.5555555555555556,2.0,1.0,0.0,0.0,1.0,1.2666666666666666,0.0,0.0
694733,2014-01-26,51,Home appliances,0.0,0,96.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,6,1,2014,0.0,0.0,0.2857142857142857,0.0,0.6666666666666666,2.0,0.8181818181818182,0.0,0.0,0.0,1.2,0.0,0.0
696515,2014-01-27,51,Home appliances,1.0,0,95.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,1,2014,4.0,0.0,0.2857142857142857,0.0,0.5555555555555556,0.0,0.7272727272727273,0.0,0.0,1.0,1.1333333333333333,0.0,0.0
