,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30
2852751,2017-05-24,52,Automotive,7.0,0,50.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,2,5,2017,11.0,5.0,15.142857142857142,6.0,15.222222222222221
2854533,2017-05-25,52,Automotive,1.0,0,48.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,5,2017,10.0,12.0,14.142857142857142,8.0,16.11111111111111
2856315,2017-05-26,52,Automotive,31.0,0,49.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,4,5,2017,8.0,7.0,11.857142857142858,10.0,17.333333333333332
2858097,2017-05-27,52,Automotive,19.0,0,49.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,5,2017,9.0,20.0,11.428571428571429,16.0,16.555555555555557
2859879,2017-05-28,52,Automotive,16.0,0,49.605000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,5,2017,7.0,15.0,11.857142857142858,8.0,15.0
2861661,2017-05-29,52,Automotive,8.0,0,49.6175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,5,2017,7.0,11.0,11.428571428571429,25.0,14.88888888888889
2863443,2017-05-30,52,Automotive,14.0,0,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,5,2017,14.0,10.0,11.428571428571429,22.0,15.333333333333334
2865225,2017-05-31,52,Automotive,8.0,0,48.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,5,2017,9.0,8.0,9.571428571428571,27.0,15.0
2867007,2017-06-01,52,Automotive,4.0,0,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,6,2017,9.0,9.0,9.428571428571429,13.0,15.444444444444445
2868789,2017-06-02,52,Automotive,16.0,0,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,6,2017,6.0,7.0,9.142857142857142,5.0,16.22222222222222
2870571,2017-06-03,52,Automotive,14.0,0,47.586666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,6,2017,6.0,7.0,9.0,12.0,14.666666666666666
2872353,2017-06-04,52,Automotive,29.0,0,47.49333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,6,2017,14.0,14.0,8.714285714285714,7.0,13.333333333333334
2874135,2017-06-05,52,Automotive,17.0,0,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,6,2017,25.0,9.0,8.285714285714286,20.0,11.222222222222221
2875917,2017-06-06,52,Automotive,7.0,0,48.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,6,2017,26.0,9.0,9.285714285714286,15.0,10.777777777777779
2877699,2017-06-07,52,Automotive,13.0,0,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,6,2017,3.0,6.0,11.857142857142858,11.0,11.0
2879481,2017-06-08,52,Automotive,13.0,4,45.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,6,2017,4.0,6.0,13.571428571428571,10.0,10.444444444444445
2881263,2017-06-09,52,Automotive,17.0,2,45.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,6,2017,7.0,14.0,12.714285714285714,8.0,11.222222222222221
2883045,2017-06-10,52,Automotive,7.0,2,45.913333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5,6,2017,1.0,25.0,12.0,9.0,10.0
2884827,2017-06-11,52,Automotive,25.0,5,46.00666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6,6,2017,31.0,26.0,12.142857142857142,7.0,9.333333333333334
2886609,2017-06-12,52,Automotive,3.0,0,46.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,6,2017,19.0,3.0,11.428571428571429,7.0,8.777777777777779
