,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30
2852753,2017-05-24,52,Beauty,9.0,1,50.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,2,5,2017,5.0,5.0,8.857142857142858,6.0,6.666666666666667
2854535,2017-05-25,52,Beauty,7.0,1,48.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,5,2017,5.0,6.0,10.0,7.0,7.666666666666667
2856317,2017-05-26,52,Beauty,17.0,1,49.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,4,5,2017,12.0,7.0,7.714285714285714,7.0,8.11111111111111
2858099,2017-05-27,52,Beauty,14.0,1,49.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,5,2017,3.0,11.0,8.142857142857142,6.0,9.555555555555555
2859881,2017-05-28,52,Beauty,10.0,1,49.605000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,5,2017,6.0,18.0,9.142857142857142,6.0,9.0
2861663,2017-05-29,52,Beauty,2.0,1,49.6175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,5,2017,16.0,5.0,8.714285714285714,16.0,8.88888888888889
2863445,2017-05-30,52,Beauty,5.0,1,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,5,2017,8.0,5.0,8.571428571428571,10.0,8.777777777777779
2865227,2017-05-31,52,Beauty,9.0,1,48.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,5,2017,4.0,12.0,9.285714285714286,21.0,8.777777777777779
2867009,2017-06-01,52,Beauty,5.0,0,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,6,2017,8.0,3.0,7.857142857142857,2.0,9.333333333333334
2868791,2017-06-02,52,Beauty,9.0,1,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,6,2017,9.0,6.0,7.714285714285714,5.0,10.666666666666666
2870573,2017-06-03,52,Beauty,9.0,0,47.586666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,6,2017,9.0,16.0,8.142857142857142,6.0,9.444444444444445
