,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30
2852754,2017-05-24,52,Beverages,3916.0,25,50.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,2,5,2017,3778.0,4602.0,5089.428571428572,5096.0,5055.444444444444
2854536,2017-05-25,52,Beverages,3960.0,24,48.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,5,2017,3587.0,3702.0,5150.714285714285,3923.0,5381.333333333333
2856318,2017-05-26,52,Beverages,6458.0,32,49.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,4,5,2017,3070.0,3749.0,4609.857142857143,4614.0,5552.666666666667
2858100,2017-05-27,52,Beverages,5712.0,31,49.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,5,2017,2909.0,5702.0,4561.428571428572,4003.0,5688.333333333333
2859882,2017-05-28,52,Beverages,6502.0,29,49.605000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,5,2017,4312.0,6810.0,4342.571428571428,5012.0,5276.444444444444
2861664,2017-05-29,52,Beverages,3610.0,29,49.6175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,5,2017,6250.0,3778.0,4229.285714285715,6969.0,5221.555555555556
2863446,2017-05-30,52,Beverages,3828.0,28,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,5,2017,4649.0,3587.0,4309.714285714285,6381.0,5197.0
2865228,2017-05-31,52,Beverages,4851.0,28,48.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,5,2017,3970.0,3070.0,4388.0,7564.0,5100.888888888889
2867010,2017-06-01,52,Beverages,3751.0,15,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,6,2017,3897.0,2909.0,4079.285714285714,3926.0,5289.666666666667
2868792,2017-06-02,52,Beverages,3802.0,19,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,6,2017,4217.0,4312.0,4106.714285714285,4602.0,5489.444444444444
