,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30
2852756,2017-05-24,52,Bread/bakery,767.958,5,50.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,2,5,2017,687.861,851.941,913.0568571428572,898.967,902.1801111111112
2854538,2017-05-25,52,Bread/bakery,615.566,4,48.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,5,2017,624.233,651.126,936.4300000000001,660.185,909.8362222222222
2856320,2017-05-26,52,Bread/bakery,1164.7891,6,49.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,4,5,2017,669.974,796.945,848.3921428571429,846.013,920.0922222222222
2858102,2017-05-27,52,Bread/bakery,934.577,5,49.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,5,2017,535.789,1019.388,835.0831428571428,667.22,950.1275555555554
2859884,2017-05-28,52,Bread/bakery,1178.601,6,49.605000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,5,2017,736.511,1214.088,809.0878571428572,889.632,895.3215555555556
2861666,2017-05-29,52,Bread/bakery,667.751,6,49.6175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,5,2017,967.976,687.861,792.6111428571429,1023.879,890.0964444444445
2863448,2017-05-30,52,Bread/bakery,630.74,6,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,5,2017,850.577,624.233,783.9777142857143,1050.476,889.0898888888889
2865230,2017-05-31,52,Bread/bakery,891.921,3,48.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,5,2017,759.432,669.974,776.6331428571428,1304.126,883.6378888888889
2867012,2017-06-01,52,Bread/bakery,646.454,2,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,6,2017,660.434,535.789,724.7029999999999,717.396,922.7676666666666
2868794,2017-06-02,52,Bread/bakery,787.311,1,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,6,2017,782.872,736.511,734.9274285714284,851.941,958.8183333333333
2870576,2017-06-03,52,Bread/bakery,1235.916,0,47.586666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,6,2017,813.974,967.976,740.099,651.126,921.483
2872358,2017-06-04,52,Bread/bakery,1134.143,1,47.49333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,6,2017,716.941,850.577,756.2272857142858,796.945,874.1226666666666
2874140,2017-06-05,52,Bread/bakery,638.762,1,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,6,2017,903.659,759.432,795.968,1019.388,803.6613333333332
2875922,2017-06-06,52,Bread/bakery,611.709,0,48.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,6,2017,1063.374,660.434,793.1722857142857,1214.088,783.4827777777778
2877704,2017-06-07,52,Bread/bakery,694.954,0,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,6,2017,766.297,782.872,783.9841428571428,687.861,770.6572222222222
2879486,2017-06-08,52,Bread/bakery,557.095,2,45.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,6,2017,581.507,813.974,814.3837142857143,624.233,805.8627777777778
2881268,2017-06-09,52,Bread/bakery,851.705,0,45.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,6,2017,767.958,716.941,815.3644285714287,669.974,811.8218888888889
2883050,2017-06-10,52,Bread/bakery,816.515,0,45.913333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5,6,2017,615.566,903.659,804.0891428571429,535.789,782.9378888888889
2884832,2017-06-11,52,Bread/bakery,975.645,0,46.00666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6,6,2017,1164.7891,1063.374,801.9585714285714,736.511,721.4207777777777
2886614,2017-06-12,52,Bread/bakery,666.057,0,46.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,6,2017,934.577,766.297,773.6145714285714,967.976,731.9775555555556
2888396,2017-06-13,52,Bread/bakery,458.782,0,46.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,6,2017,1178.601,581.507,837.5928714285714,850.577,753.059888888889
2890178,2017-06-14,52,Bread/bakery,697.934,0,44.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2,6,2017,667.751,767.958,842.0097285714286,759.432,758.2784444444445
2891960,2017-06-15,52,Bread/bakery,536.978,0,44.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3,6,2017,630.74,615.566,858.4707285714286,660.434,799.1528888888889
2893742,2017-06-16,52,Bread/bakery,846.795,0,44.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,4,6,2017,891.921,1164.7891,844.3927285714286,782.872,835.471
2895524,2017-06-17,52,Bread/bakery,911.229,0,44.56666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,5,6,2017,646.454,934.577,851.4260142857144,813.974,813.0622222222223
2897306,2017-06-18,52,Bread/bakery,867.982,0,44.403333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,6,6,2017,787.311,1178.601,869.1350142857143,716.941,783.1655555555556
