,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30
2852757,2017-05-24,52,Celebration,10.0,0,50.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,2,5,2017,4.0,9.0,11.0,16.0,11.555555555555555
2854539,2017-05-25,52,Celebration,12.0,1,48.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,5,2017,12.0,9.0,11.142857142857142,6.0,12.222222222222221
2856321,2017-05-26,52,Celebration,12.0,0,49.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,4,5,2017,8.0,8.0,10.428571428571429,9.0,12.444444444444445
2858103,2017-05-27,52,Celebration,21.0,0,49.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,5,2017,14.0,24.0,11.285714285714286,3.0,12.11111111111111
2859885,2017-05-28,52,Celebration,23.0,0,49.605000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,5,2017,20.0,13.0,11.142857142857142,26.0,11.666666666666666
2861667,2017-05-29,52,Celebration,10.0,0,49.6175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,5,2017,17.0,4.0,11.857142857142858,18.0,10.88888888888889
2863449,2017-05-30,52,Celebration,6.0,0,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,5,2017,9.0,12.0,13.571428571428571,12.0,11.222222222222221
2865231,2017-05-31,52,Celebration,10.0,0,48.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,5,2017,8.0,8.0,12.571428571428571,9.0,11.11111111111111
2867013,2017-06-01,52,Celebration,7.0,0,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,6,2017,11.0,14.0,12.0,6.0,13.444444444444445
2868795,2017-06-02,52,Celebration,10.0,0,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,6,2017,2.0,20.0,12.571428571428571,9.0,12.0
2870577,2017-06-03,52,Celebration,24.0,0,47.586666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,6,2017,20.0,17.0,12.428571428571429,9.0,10.444444444444445
2872359,2017-06-04,52,Celebration,7.0,0,47.49333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,6,2017,5.0,9.0,11.571428571428571,8.0,10.444444444444445
2874141,2017-06-05,52,Celebration,7.0,0,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,6,2017,16.0,8.0,12.428571428571429,24.0,10.333333333333334
2875923,2017-06-06,52,Celebration,9.0,0,48.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,6,2017,8.0,11.0,10.285714285714286,13.0,11.222222222222221
2877705,2017-06-07,52,Celebration,16.0,0,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,6,2017,4.0,2.0,10.142857142857142,4.0,12.444444444444445
2879487,2017-06-08,52,Celebration,4.0,0,45.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,6,2017,8.0,20.0,10.0,12.0,13.333333333333334
2881269,2017-06-09,52,Celebration,5.0,0,45.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,6,2017,10.0,5.0,9.428571428571429,8.0,13.444444444444445
2883051,2017-06-10,52,Celebration,7.0,0,45.913333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5,6,2017,12.0,16.0,9.0,14.0,11.666666666666666
2884833,2017-06-11,52,Celebration,11.0,0,46.00666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6,6,2017,12.0,8.0,10.142857142857142,20.0,11.444444444444445
2886615,2017-06-12,52,Celebration,10.0,0,46.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,6,2017,21.0,4.0,9.0,17.0,11.222222222222221
2888397,2017-06-13,52,Celebration,8.0,0,46.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,6,2017,23.0,8.0,10.0,9.0,12.11111111111111
