,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30
2852758,2017-05-24,52,Cleaning,1664.0,37,50.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,2,5,2017,1545.0,1965.0,2022.2857142857142,2048.0,2049.4444444444443
2854540,2017-05-25,52,Cleaning,1310.0,31,48.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,5,2017,1255.0,1367.0,2006.2857142857142,1480.0,2111.5555555555557
2856322,2017-05-26,52,Cleaning,2464.0,39,49.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,4,5,2017,1392.0,1596.0,1808.2857142857142,1851.0,2168.3333333333335
2858104,2017-05-27,52,Cleaning,1823.0,39,49.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,5,2017,1228.0,2199.0,1766.7142857142858,1639.0,2220.8888888888887
2859886,2017-05-28,52,Cleaning,2127.0,41,49.605000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,5,2017,1611.0,2440.0,1684.857142857143,2088.0,2082.8888888888887
2861668,2017-05-29,52,Cleaning,1322.0,32,49.6175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,5,2017,2138.0,1545.0,1665.0,2611.0,2073.6666666666665
2863450,2017-05-30,52,Cleaning,1323.0,33,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,5,2017,1561.0,1255.0,1667.142857142857,2552.0,2061.1111111111113
2865232,2017-05-31,52,Cleaning,1709.0,32,48.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,5,2017,1574.0,1392.0,1658.4285714285713,2931.0,2032.7777777777778
2867014,2017-06-01,52,Cleaning,1361.0,3,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,6,2017,1549.0,1228.0,1532.857142857143,1546.0,2095.0
2868796,2017-06-02,52,Cleaning,1458.0,6,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,6,2017,1866.0,1611.0,1537.0,1965.0,2134.1111111111113
2870578,2017-06-03,52,Cleaning,2268.0,7,47.586666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,6,2017,1416.0,2138.0,1579.0,1367.0,2015.6666666666667
2872360,2017-06-04,52,Cleaning,2276.0,8,47.49333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,6,2017,1493.0,1561.0,1646.7142857142858,1596.0,1871.5555555555557
2874142,2017-06-05,52,Cleaning,1277.0,10,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,6,2017,2143.0,1574.0,1673.5714285714287,2199.0,1700.5555555555557
2875924,2017-06-06,52,Cleaning,1198.0,8,48.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,6,2017,2187.0,1549.0,1656.7142857142858,2440.0,1665.2222222222222
2877706,2017-06-07,52,Cleaning,1540.0,10,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,6,2017,1339.0,1866.0,1657.4285714285713,1545.0,1625.888888888889
2879488,2017-06-08,52,Cleaning,1164.0,20,45.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,6,2017,1226.0,1416.0,1746.857142857143,1255.0,1711.5555555555557
2881270,2017-06-09,52,Cleaning,1492.0,23,45.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,6,2017,1664.0,1493.0,1713.2857142857142,1392.0,1707.6666666666667
2883052,2017-06-10,52,Cleaning,1678.0,23,45.913333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5,6,2017,1310.0,2143.0,1667.142857142857,1228.0,1638.2222222222222
