,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30
2852759,2017-05-24,52,Dairy,1110.0,29,50.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,2,5,2017,1005.0,1226.0,1391.7142857142858,1403.0,1356.0
2854541,2017-05-25,52,Dairy,837.0,28,48.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,5,2017,875.0,935.0,1422.2857142857142,1179.0,1395.0
2856323,2017-05-26,52,Dairy,1610.0,31,49.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,4,5,2017,1030.0,1168.0,1272.4285714285713,1297.0,1427.4444444444443
2858105,2017-05-27,52,Dairy,1245.0,28,49.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,5,2017,751.0,1584.0,1235.2857142857142,1070.0,1485.3333333333333
2859887,2017-05-28,52,Dairy,1538.0,29,49.605000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,5,2017,1215.0,1854.0,1207.2857142857142,1361.0,1405.5555555555557
2861669,2017-05-29,52,Dairy,1087.0,30,49.6175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,5,2017,1597.0,1005.0,1181.0,1511.0,1385.888888888889
2863451,2017-05-30,52,Dairy,931.0,26,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,5,2017,1337.0,875.0,1187.7142857142858,1640.0,1358.7777777777778
2865233,2017-05-31,52,Dairy,1215.0,29,48.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,5,2017,1162.0,1030.0,1189.5714285714287,2054.0,1344.4444444444443
2867015,2017-06-01,52,Dairy,843.0,5,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,6,2017,1064.0,751.0,1115.7142857142858,1135.0,1401.5555555555557
2868797,2017-06-02,52,Dairy,1071.0,16,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,6,2017,1209.0,1215.0,1138.142857142857,1226.0,1456.3333333333333
2870579,2017-06-03,52,Dairy,1457.0,17,47.586666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,6,2017,872.0,1597.0,1165.142857142857,935.0,1400.111111111111
2872361,2017-06-04,52,Dairy,1679.0,17,47.49333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,6,2017,1006.0,1337.0,1190.7142857142858,1168.0,1315.111111111111
2874143,2017-06-05,52,Dairy,1006.0,15,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,6,2017,1352.0,1162.0,1208.0,1584.0,1201.3333333333333
2875925,2017-06-06,52,Dairy,871.0,22,48.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,6,2017,1674.0,1064.0,1178.142857142857,1854.0,1158.6666666666667
2877707,2017-06-07,52,Dairy,1078.0,17,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,6,2017,1004.0,1209.0,1143.142857142857,1005.0,1157.4444444444443
2879489,2017-06-08,52,Dairy,839.0,30,45.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,6,2017,768.0,872.0,1191.2857142857142,875.0,1231.0
2881271,2017-06-09,52,Dairy,1081.0,36,45.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,6,2017,1110.0,1006.0,1168.7142857142858,1030.0,1249.7777777777778
2883053,2017-06-10,52,Dairy,1179.0,34,45.913333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5,6,2017,837.0,1352.0,1126.4285714285713,751.0,1202.888888888889
2884835,2017-06-11,52,Dairy,1614.0,37,46.00666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6,6,2017,1610.0,1674.0,1112.2857142857142,1215.0,1115.111111111111
