,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30
2852760,2017-05-24,52,Deli,300.048,11,50.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,2,5,2017,330.301,372.366,423.87242857142854,325.857,395.7076666666667
2854542,2017-05-25,52,Deli,316.444,10,48.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,5,2017,327.243,282.85,439.69442857142855,322.518,425.24177777777777
2856324,2017-05-26,52,Deli,542.376,70,49.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,4,5,2017,336.515,340.419,394.57671428571433,325.249,430.56344444444443
2858106,2017-05-27,52,Deli,500.556,10,49.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,5,2017,196.864,462.194,394.65171428571426,276.422,450.56077777777773
2859888,2017-05-28,52,Deli,513.208,12,49.605000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,5,2017,420.155,647.189,389.53014285714283,454.986,419.9886666666667
2861670,2017-05-29,52,Deli,419.055,9,49.6175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,5,2017,487.571,330.301,377.24642857142857,565.588,425.15633333333335
2863452,2017-05-30,52,Deli,294.021,9,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,5,2017,393.236,327.243,388.6372857142857,536.435,420.7487777777778
2865234,2017-05-31,52,Deli,319.077,12,48.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,5,2017,292.842,336.515,392.26257142857145,646.125,422.4343333333333
2867016,2017-06-01,52,Deli,284.539,0,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,6,2017,313.127,196.864,355.98357142857145,326.718,443.0756666666667
2868798,2017-06-02,52,Deli,420.427,64,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,6,2017,374.947,420.155,350.63228571428573,372.366,464.4315555555556
2870580,2017-06-03,52,Deli,548.67,9,47.586666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,6,2017,225.697,487.571,348.61571428571426,282.85,438.2885555555556
2872362,2017-06-04,52,Deli,713.308,8,47.49333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,6,2017,283.579,393.236,354.10600000000005,340.419,415.045
2874144,2017-06-05,52,Deli,285.952,8,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,6,2017,428.65298,292.842,358.22499999999997,462.194,380.6438888888889
2875926,2017-06-06,52,Deli,301.744,8,48.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,6,2017,523.46,313.127,338.7141428571429,647.189,366.21566666666666
2877708,2017-06-07,52,Deli,300.534,8,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,6,2017,284.757,374.947,330.2972828571428,330.301,371.5255555555555
2879490,2017-06-08,52,Deli,231.386,7,45.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,6,2017,254.464,225.697,348.9007114285714,327.243,394.27233333333334
2881272,2017-06-09,52,Deli,380.428,66,45.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,6,2017,300.048,283.579,347.7457114285714,336.515,400.14088888888887
2883054,2017-06-10,52,Deli,412.841,8,45.913333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5,6,2017,316.444,428.65298,339.3652828571429,196.864,381.324
2884836,2017-06-11,52,Deli,574.14,8,46.00666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6,6,2017,542.376,523.46,328.66542571428573,420.155,344.20599999999996
2886618,2017-06-12,52,Deli,283.602,9,46.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,6,2017,500.556,284.757,341.62928285714287,487.571,349.1666666666667
2888400,2017-06-13,52,Deli,309.888,8,46.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,6,2017,513.208,254.464,378.6002828571429,393.236,337.88377777777777
2890182,2017-06-14,52,Deli,299.644,7,44.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2,6,2017,419.055,300.048,388.8721428571429,292.842,332.002
2891964,2017-06-15,52,Deli,264.016,2,44.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3,6,2017,294.021,316.444,387.40757142857143,313.127,357.7563311111111
2893746,2017-06-16,52,Deli,363.296,70,44.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,4,6,2017,319.077,542.376,406.59299999999996,374.947,369.23466444444443
