,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30
2852761,2017-05-24,52,Eggs,180.0,0,50.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,2,5,2017,189.0,237.0,221.42857142857142,236.0,222.77777777777777
2854543,2017-05-25,52,Eggs,177.0,2,48.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,5,2017,161.0,144.0,228.57142857142858,175.0,234.44444444444446
2856325,2017-05-26,52,Eggs,292.0,28,49.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,4,5,2017,180.0,185.0,213.28571428571428,210.0,231.22222222222223
2858107,2017-05-27,52,Eggs,212.0,1,49.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,5,2017,129.0,245.0,208.0,155.0,234.22222222222223
2859889,2017-05-28,52,Eggs,263.0,1,49.605000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,5,2017,167.0,295.0,199.85714285714286,233.0,222.44444444444446
2861671,2017-05-29,52,Eggs,193.0,1,49.6175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,5,2017,263.0,189.0,197.71428571428572,254.0,222.55555555555554
2863453,2017-05-30,52,Eggs,162.0,2,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,5,2017,162.0,161.0,195.14285714285714,245.0,219.11111111111111
2865235,2017-05-31,52,Eggs,204.0,2,48.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,5,2017,208.0,180.0,197.71428571428572,296.0,216.33333333333334
2867017,2017-06-01,52,Eggs,131.0,1,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,6,2017,169.0,129.0,178.71428571428572,198.0,226.33333333333334
2868799,2017-06-02,52,Eggs,217.0,29,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,6,2017,194.0,167.0,181.42857142857142,237.0,233.22222222222223
2870581,2017-06-03,52,Eggs,298.0,3,47.586666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,6,2017,118.0,263.0,182.57142857142858,144.0,226.0
2872363,2017-06-04,52,Eggs,316.0,3,47.49333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,6,2017,206.0,162.0,184.57142857142858,185.0,216.66666666666666
2874145,2017-06-05,52,Eggs,214.0,4,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,6,2017,258.0,208.0,183.0,245.0,203.77777777777777
2875927,2017-06-06,52,Eggs,169.0,4,48.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,6,2017,234.0,169.0,188.57142857142858,295.0,196.11111111111111
2877709,2017-06-07,52,Eggs,210.0,3,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,6,2017,191.0,194.0,187.85714285714286,189.0,188.33333333333334
2879491,2017-06-08,52,Eggs,139.0,1,45.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,6,2017,151.0,118.0,198.14285714285714,161.0,201.55555555555554
2881273,2017-06-09,52,Eggs,225.0,22,45.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,6,2017,180.0,206.0,195.71428571428572,180.0,199.0
2883055,2017-06-10,52,Eggs,226.0,4,45.913333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5,6,2017,177.0,258.0,193.14285714285714,129.0,194.88888888888889
2884837,2017-06-11,52,Eggs,284.0,3,46.00666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6,6,2017,292.0,234.0,191.14285714285714,167.0,180.88888888888889
2886619,2017-06-12,52,Eggs,218.0,3,46.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,6,2017,212.0,191.0,199.57142857142858,263.0,181.44444444444446
2888401,2017-06-13,52,Eggs,177.0,3,46.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,6,2017,263.0,151.0,211.85714285714286,162.0,176.66666666666666
2890183,2017-06-14,52,Eggs,212.0,3,44.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2,6,2017,193.0,180.0,205.28571428571428,208.0,179.55555555555554
2891965,2017-06-15,52,Eggs,149.0,2,44.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3,6,2017,162.0,177.0,209.42857142857142,169.0,193.88888888888889
2893747,2017-06-16,52,Eggs,208.0,26,44.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,4,6,2017,204.0,292.0,209.71428571428572,194.0,201.33333333333334
2895529,2017-06-17,52,Eggs,283.0,3,44.56666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,5,6,2017,131.0,212.0,211.28571428571428,118.0,193.33333333333334
2897311,2017-06-18,52,Eggs,248.0,3,44.403333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,6,6,2017,217.0,263.0,214.71428571428572,206.0,192.11111111111111
2899093,2017-06-19,52,Eggs,192.0,3,44.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,6,2017,298.0,193.0,208.14285714285714,258.0,189.0
2900875,2017-06-20,52,Eggs,166.0,4,43.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1,6,2017,316.0,162.0,197.42857142857142,234.0,189.88888888888889
2902657,2017-06-21,52,Eggs,199.0,3,42.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,2,6,2017,214.0,204.0,209.71428571428572,191.0,200.77777777777777
2904439,2017-06-22,52,Eggs,123.0,1,42.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,3,6,2017,169.0,131.0,217.28571428571428,151.0,211.22222222222223
2906221,2017-06-23,52,Eggs,192.0,28,42.86,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,4,6,2017,210.0,217.0,220.28571428571428,180.0,217.55555555555554
