,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30
2852762,2017-05-24,52,Frozen foods,286.408,3,50.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,2,5,2017,287.0,288.336,383.62042857142853,249.475,337.14377777777776
2854544,2017-05-25,52,Frozen foods,294.679,1,48.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,5,2017,276.264,246.851,384.9654285714286,282.0,367.3141111111111
2856326,2017-05-26,52,Frozen foods,696.015,3,49.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,4,5,2017,368.709,406.0,357.1082857142857,274.721,370.4428888888889
2858108,2017-05-27,52,Frozen foods,608.0,3,49.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,5,2017,275.331,503.076,351.1795714285714,388.285,387.215
2859890,2017-05-28,52,Frozen foods,274.207,3,49.605000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,5,2017,605.992,450.73,362.6614285714286,501.24,387.3
2861672,2017-05-29,52,Frozen foods,229.384,2,49.6175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,5,2017,565.381,287.0,366.73,548.899,391.6178888888889
2863454,2017-05-30,52,Frozen foods,210.235,2,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,5,2017,374.024,276.264,395.3002857142857,441.315,387.71244444444443
2865236,2017-05-31,52,Frozen foods,284.193,3,48.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,5,2017,275.0,368.709,404.201,482.0,402.299
2867018,2017-06-01,52,Frozen foods,337.0,0,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,6,2017,225.36,275.331,393.243,317.765,415.05355555555553
2868800,2017-06-02,52,Frozen foods,525.612,3,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,6,2017,289.852,605.992,391.5287142857143,288.336,409.4413333333334
2870582,2017-06-03,52,Frozen foods,429.862,1,47.586666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,6,2017,378.0,565.381,384.2567142857142,246.851,380.3414444444445
2872364,2017-06-04,52,Frozen foods,377.847,1,47.49333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,6,2017,451.0,374.024,372.99142857142857,406.0,362.0024444444445
2874146,2017-06-05,52,Frozen foods,231.0,1,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,6,2017,399.237,275.0,387.65842857142854,503.076,349.4145555555556
2875928,2017-06-06,52,Frozen foods,175.649,2,48.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,6,2017,304.476,225.36,365.51671428571433,450.73,344.69966666666664
2877710,2017-06-07,52,Frozen foods,355.0,1,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,6,2017,180.0,289.852,341.7818571428571,287.0,379.99477777777776
2879492,2017-06-08,52,Frozen foods,195.561,2,45.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,6,2017,268.109,378.0,331.8464285714286,276.264,415.387
2881274,2017-06-09,52,Frozen foods,468.18,2,45.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,6,2017,286.408,451.0,318.27500000000003,368.709,411.8341111111111
2883056,2017-06-10,52,Frozen foods,462.282,2,45.913333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5,6,2017,294.679,399.237,324.382,275.331,386.49233333333336
2884838,2017-06-11,52,Frozen foods,311.383,1,46.00666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6,6,2017,696.015,304.476,323.89,605.992,361.4512222222222
2886620,2017-06-12,52,Frozen foods,171.0,1,46.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,6,2017,608.0,180.0,311.987,565.381,361.7681111111111
2888402,2017-06-13,52,Frozen foods,333.748,1,46.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,6,2017,274.207,268.109,346.98914285714284,374.024,373.0721111111111
2890184,2017-06-14,52,Frozen foods,311.078,1,44.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2,6,2017,229.384,286.408,376.81242857142854,275.0,382.21555555555557
2891966,2017-06-15,52,Frozen foods,313.04102,2,44.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3,6,2017,210.235,294.679,372.48828571428567,225.36,395.9828888888889
2893748,2017-06-16,52,Frozen foods,454.526,3,44.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,4,6,2017,284.193,696.015,379.5431428571428,289.852,362.4811111111111
2895530,2017-06-17,52,Frozen foods,565.113,0,44.56666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,5,6,2017,337.0,608.0,371.27542857142856,378.0,319.66099999999994
2897312,2017-06-18,52,Frozen foods,266.0,1,44.403333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,6,6,2017,525.612,274.207,370.959,451.0,307.8926666666666
2899094,2017-06-19,52,Frozen foods,218.0,1,44.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,6,2017,429.862,229.384,377.00485714285713,399.237,309.1602222222222
2900876,2017-06-20,52,Frozen foods,220.0,0,43.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1,6,2017,377.847,210.235,352.66157142857145,304.476,316.86233333333337
2902658,2017-06-21,52,Frozen foods,222.854,1,42.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,2,6,2017,231.0,284.193,327.2132857142857,180.0,361.9915555555556
2904440,2017-06-22,52,Frozen foods,253.823,0,42.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,3,6,2017,175.649,337.0,342.01899999999995,268.109,387.5471111111111
2906222,2017-06-23,52,Frozen foods,329.839,0,42.86,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,4,6,2017,355.0,525.612,342.24985714285714,286.408,367.9034444444444
2908004,2017-06-24,52,Frozen foods,446.278,0,42.986666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,5,6,2017,195.561,429.862,337.309,294.679,349.03088888888885
2909786,2017-06-25,52,Frozen foods,296.165,2,43.11333333333334,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,25,6,6,2017,468.18,377.847,347.42428571428576,696.015,338.5596666666667
2911568,2017-06-26,52,Frozen foods,267.06,1,43.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,6,2017,462.282,231.0,327.21871428571427,608.0,350.13666666666666
2913350,2017-06-27,52,Frozen foods,278.996,0,44.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,1,6,2017,311.383,175.649,319.0141428571429,274.207,357.79122222222225
2915132,2017-06-28,52,Frozen foods,392.012,2,44.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,2,6,2017,171.0,355.0,323.6455714285714,229.384,384.3694444444444
2916914,2017-06-29,52,Frozen foods,208.0,1,44.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,3,6,2017,333.748,195.561,314.1507142857143,210.235,399.38977777777774
2918696,2017-06-30,52,Frozen foods,543.485,1,46.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,4,6,2017,311.078,468.18,305.5792857142857,284.193,364.03777777777776
2920478,2017-07-01,52,Frozen foods,425.529,0,45.838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,7,2017,313.04102,462.282,328.16485714285716,337.0,322.14888888888885
2922260,2017-07-02,52,Frozen foods,263.831,2,45.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,7,2017,454.526,311.383,321.8902857142857,525.612,311.19800000000004
2924042,2017-07-03,52,Frozen foods,338.015,2,45.474000000000004,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,7,2017,565.113,171.0,338.6731457142857,429.862,325.1553333333334
2925824,2017-07-04,52,Frozen foods,214.739,3,45.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,7,2017,266.0,333.748,336.7225742857143,377.847,323.5248888888889
2927606,2017-07-05,52,Frozen foods,271.744,2,45.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,7,2017,218.0,311.078,351.41271714285716,231.0,343.9678888888889
2929388,2017-07-06,52,Frozen foods,255.0,0,45.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3,7,2017,220.0,313.04102,344.9294314285715,175.649,357.88811111111113
2931170,2017-07-07,52,Frozen foods,480.716,1,44.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,4,7,2017,222.854,454.526,351.64371714285716,355.0,334.0848888888889
2932952,2017-07-08,52,Frozen foods,435.178,0,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,7,2017,253.823,565.113,335.3940028571429,195.561,305.32244444444444
2934734,2017-07-09,52,Frozen foods,243.048,0,44.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6,7,2017,329.839,266.0,322.7905742857143,468.18,300.4225555555556
2936516,2017-07-10,52,Frozen foods,201.0,0,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,7,2017,446.278,218.0,314.3308571428571,462.282,309.32011111111115
2938298,2017-07-11,52,Frozen foods,230.0,0,45.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1,7,2017,296.165,220.0,296.5184285714286,311.383,324.5858911111111
2940080,2017-07-12,52,Frozen foods,247.727,1,45.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2,7,2017,267.06,222.854,279.542,171.0,335.64433555555553
2941862,2017-07-13,52,Frozen foods,307.0,1,46.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,3,7,2017,278.996,253.823,283.85128571428567,333.748,376.7056688888889
2943644,2017-07-14,52,Frozen foods,420.493,2,46.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,4,7,2017,392.012,329.839,290.85985714285715,311.078,354.2412244444444
2945426,2017-07-15,52,Frozen foods,408.183,1,46.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,5,7,2017,208.0,446.278,299.2878571428572,313.04102,327.09878000000003
2947208,2017-07-16,52,Frozen foods,319.976,1,46.190000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,6,7,2017,543.485,296.165,323.45328571428576,454.526,316.9451133333333
2948990,2017-07-17,52,Frozen foods,261.0,1,46.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,7,2017,425.529,267.06,316.90714285714284,565.113,322.7066688888889
2950772,2017-07-18,52,Frozen foods,195.789,1,46.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,1,7,2017,263.831,278.996,347.428,266.0,313.8261133333333
2952554,2017-07-19,52,Frozen foods,280.544,1,47.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2,7,2017,338.015,392.012,344.4638571428572,218.0,315.9106688888889
2954336,2017-07-20,52,Frozen foods,236.0,1,46.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,3,7,2017,214.739,208.0,339.8447142857143,220.0,330.71477777777784
2956118,2017-07-21,52,Frozen foods,419.391,2,45.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,4,7,2017,271.744,543.485,349.9811428571429,222.854,313.1191111111111
2957900,2017-07-22,52,Frozen foods,404.121,1,45.92333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,5,7,2017,255.0,425.529,340.80157142857144,253.823,280.00211111111116
2959682,2017-07-23,52,Frozen foods,303.073,1,46.06666666666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,6,7,2017,480.716,263.831,323.62042857142853,329.839,281.4461111111111
2961464,2017-07-24,52,Frozen foods,291.444,1,46.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,7,2017,435.178,338.015,330.33471428571426,446.278,300.78077777777776
2963246,2017-07-25,52,Frozen foods,191.0,1,47.77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,1,7,2017,243.048,214.739,321.36771428571427,296.165,299.44744444444444
2965028,2017-07-26,52,Frozen foods,276.423,1,48.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,2,7,2017,201.0,271.744,322.74614285714284,267.06,335.0731111111111
2966810,2017-07-27,52,Frozen foods,325.0,1,49.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,3,7,2017,230.0,255.0,319.77714285714285,278.996,354.15155555555555
2968592,2017-07-28,52,Frozen foods,580.256,1,49.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,4,7,2017,247.727,480.716,300.2035714285715,392.012,346.81733333333335
2970374,2017-07-29,52,Frozen foods,599.349,1,49.88333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,5,7,2017,307.0,435.178,302.3837142857143,208.0,334.7881111111111
2972156,2017-07-30,52,Frozen foods,355.975,1,50.04666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,6,7,2017,420.493,243.048,298.95271428571425,543.485,325.7407777777778
2973938,2017-07-31,52,Frozen foods,199.709,2,50.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0,7,2017,408.183,201.0,306.3812857142857,425.529,326.2612222222222
2975720,2017-08-01,52,Frozen foods,247.214,2,49.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,8,2017,319.976,230.0,297.77799999999996,263.831,323.595
2977502,2017-08-02,52,Frozen foods,322.115,2,49.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,8,2017,261.0,247.727,293.92157142857144,338.015,333.451
2979284,2017-08-03,52,Frozen foods,335.506,1,49.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,8,2017,195.789,307.0,304.9112857142857,214.739,358.693
2981066,2017-08-04,52,Frozen foods,511.546,1,49.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,8,2017,280.544,420.493,313.4827142857143,271.744,325.31111111111113
2982848,2017-08-05,52,Frozen foods,525.023,1,49.50333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,8,2017,236.0,408.183,308.5954285714285,255.0,300.36344444444444
2984630,2017-08-06,52,Frozen foods,241.766,1,49.43666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,8,2017,419.391,319.976,313.28357142857146,480.716,296.6044444444444
2986412,2017-08-07,52,Frozen foods,254.195,1,49.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,8,2017,404.121,261.0,303.1407142857143,435.178,286.57244444444444
2988194,2017-08-08,52,Frozen foods,356.0,1,49.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,8,2017,303.073,195.789,302.98328571428567,243.048,296.82366666666667
2989976,2017-08-09,52,Frozen foods,279.8,1,49.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,8,2017,291.444,280.544,302.40299999999996,201.0,313.3513333333333
2991758,2017-08-10,52,Frozen foods,392.227,1,48.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,3,8,2017,191.0,236.0,299.98828571428567,230.0,330.37166666666667
2993540,2017-08-11,52,Frozen foods,837.665,2,48.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11,4,8,2017,276.423,419.391,304.3374285714286,247.727,312.51166666666666
2995322,2017-08-12,52,Frozen foods,457.555,1,48.403333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,5,8,2017,325.0,404.121,303.6532857142857,307.0,293.15855555555555
2997104,2017-08-13,52,Frozen foods,283.162,1,47.99666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,6,8,2017,580.256,303.073,303.06457142857147,420.493,287.9075555555555
2998886,2017-08-14,52,Frozen foods,290.547,1,47.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,8,2017,599.349,291.444,315.7788571428572,408.183,296.7457777777778
3000668,2017-08-15,52,Frozen foods,220.0,1,47.57,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1,8,2017,355.975,191.0,338.7595714285714,319.976,297.4124444444444
