,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30
2852763,2017-05-24,52,Grocery i,6058.0,51,50.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,2,5,2017,4954.0,6438.0,7090.142857142857,7070.0,7510.333333333333
2854545,2017-05-25,52,Grocery i,4459.0,46,48.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,5,2017,4266.0,4433.0,7018.428571428572,5541.0,7697.444444444444
2856327,2017-05-26,52,Grocery i,9122.0,58,49.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,4,5,2017,4983.0,5234.0,6231.571428571428,6552.0,7923.666666666667
2858109,2017-05-27,52,Grocery i,7301.0,49,49.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,5,2017,4123.0,7865.0,6034.428571428572,5649.0,8064.444444444444
2859891,2017-05-28,52,Grocery i,8088.0,47,49.605000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,5,2017,5827.0,9051.0,5826.571428571428,7851.0,7532.666666666667
2861673,2017-05-29,52,Grocery i,4720.0,48,49.6175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,5,2017,8992.0,4954.0,5782.285714285715,9470.0,7462.444444444444
2863455,2017-05-30,52,Grocery i,4827.0,43,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,5,2017,6546.0,4266.0,5867.0,9553.0,7339.333333333333
2865237,2017-05-31,52,Grocery i,6489.0,50,48.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,5,2017,5217.0,4983.0,6028.0,10462.0,7192.888888888889
2867019,2017-06-01,52,Grocery i,5703.0,27,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,6,2017,5114.0,4123.0,5670.142857142857,5646.0,7439.111111111111
2868801,2017-06-02,52,Grocery i,5496.0,44,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,6,2017,5784.0,5827.0,5707.714285714285,6438.0,7572.444444444444
