,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30
2852764,2017-05-24,52,Grocery ii,29.0,0,50.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,2,5,2017,31.0,40.0,47.0,63.0,38.55555555555556
2854546,2017-05-25,52,Grocery ii,16.0,0,48.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,5,2017,24.0,26.0,49.57142857142857,30.0,37.111111111111114
2856328,2017-05-26,52,Grocery ii,63.0,0,49.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,4,5,2017,43.0,86.0,46.857142857142854,28.0,38.22222222222222
2858110,2017-05-27,52,Grocery ii,44.0,0,49.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,5,2017,56.0,58.0,46.857142857142854,20.0,38.0
2859892,2017-05-28,52,Grocery ii,52.0,0,49.605000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,5,2017,55.0,63.0,47.285714285714285,36.0,36.111111111111114
2861674,2017-05-29,52,Grocery ii,26.0,0,49.6175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,5,2017,74.0,31.0,51.57142857142857,29.0,33.55555555555556
2863456,2017-05-30,52,Grocery ii,33.0,0,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,5,2017,55.0,24.0,47.142857142857146,45.0,33.111111111111114
2865238,2017-05-31,52,Grocery ii,59.0,0,48.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,5,2017,36.0,43.0,49.42857142857143,50.0,39.55555555555556
2867020,2017-06-01,52,Grocery ii,55.0,0,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,6,2017,22.0,56.0,48.285714285714285,24.0,43.77777777777778
2868802,2017-06-02,52,Grocery ii,58.0,0,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,6,2017,33.0,55.0,49.0,40.0,46.77777777777778
