,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30
2852765,2017-05-24,52,Hardware,1.0,0,50.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,2,5,2017,0.0,2.0,3.7142857142857144,5.0,4.222222222222222
2854547,2017-05-25,52,Hardware,4.0,0,48.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,5,2017,3.0,2.0,4.0,2.0,4.222222222222222
2856329,2017-05-26,52,Hardware,7.0,0,49.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,4,5,2017,2.0,3.0,3.2857142857142856,2.0,4.222222222222222
2858111,2017-05-27,52,Hardware,1.0,0,49.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,5,2017,3.0,7.0,3.4285714285714284,0.0,3.6666666666666665
2859893,2017-05-28,52,Hardware,3.0,0,49.605000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,5,2017,3.0,7.0,3.4285714285714284,5.0,3.3333333333333335
2861675,2017-05-29,52,Hardware,6.0,0,49.6175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,5,2017,3.0,0.0,3.5714285714285716,4.0,3.0
2863457,2017-05-30,52,Hardware,3.0,0,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,5,2017,6.0,3.0,3.5714285714285716,5.0,3.0
2865239,2017-05-31,52,Hardware,2.0,0,48.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,5,2017,1.0,2.0,3.0,5.0,3.111111111111111
2867021,2017-06-01,52,Hardware,2.0,0,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,6,2017,4.0,3.0,2.857142857142857,2.0,3.888888888888889
2868803,2017-06-02,52,Hardware,2.0,0,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,6,2017,4.0,3.0,3.0,2.0,4.111111111111111
2870585,2017-06-03,52,Hardware,4.0,0,47.586666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,6,2017,2.0,3.0,3.142857142857143,2.0,3.6666666666666665
2872367,2017-06-04,52,Hardware,3.0,0,47.49333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,6,2017,2.0,6.0,3.4285714285714284,3.0,3.4444444444444446
2874149,2017-06-05,52,Hardware,1.0,0,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,6,2017,2.0,1.0,3.2857142857142856,7.0,3.111111111111111
2875931,2017-06-06,52,Hardware,3.0,0,48.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,6,2017,6.0,4.0,3.142857142857143,7.0,3.2222222222222223
2877713,2017-06-07,52,Hardware,4.0,0,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,6,2017,4.0,4.0,3.0,0.0,3.3333333333333335
2879495,2017-06-08,52,Hardware,1.0,0,45.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,6,2017,1.0,2.0,3.0,3.0,3.4444444444444446
2881277,2017-06-09,52,Hardware,11.0,0,45.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,6,2017,1.0,2.0,3.4285714285714284,2.0,3.7777777777777777
2883059,2017-06-10,52,Hardware,3.0,0,45.913333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5,6,2017,4.0,2.0,3.0,3.0,3.111111111111111
2884841,2017-06-11,52,Hardware,2.0,0,46.00666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6,6,2017,7.0,6.0,2.5714285714285716,3.0,2.7777777777777777
2886623,2017-06-12,52,Hardware,3.0,0,46.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,6,2017,1.0,4.0,2.857142857142857,3.0,3.2222222222222223
