,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30
2852766,2017-05-24,52,Home and kitchen i,46.0,1,50.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,2,5,2017,42.0,79.0,81.42857142857143,62.0,86.88888888888889
2854548,2017-05-25,52,Home and kitchen i,55.0,1,48.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,5,2017,38.0,109.0,79.14285714285714,37.0,90.55555555555556
2856330,2017-05-26,52,Home and kitchen i,50.0,2,49.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,4,5,2017,30.0,85.0,74.57142857142857,83.0,89.44444444444444
2858112,2017-05-27,52,Home and kitchen i,54.0,1,49.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,5,2017,65.0,56.0,68.57142857142857,115.0,84.11111111111111
2859894,2017-05-28,52,Home and kitchen i,59.0,1,49.605000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,5,2017,30.0,71.0,61.57142857142857,68.0,78.33333333333333
2861676,2017-05-29,52,Home and kitchen i,46.0,1,49.6175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,5,2017,94.0,42.0,55.285714285714285,99.0,80.22222222222223
2863458,2017-05-30,52,Home and kitchen i,55.0,2,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,5,2017,42.0,38.0,47.42857142857143,87.0,88.22222222222223
2865240,2017-05-31,52,Home and kitchen i,48.0,0,48.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,5,2017,49.0,30.0,52.857142857142854,74.0,88.44444444444444
2867022,2017-06-01,52,Home and kitchen i,128.0,2,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,6,2017,47.0,65.0,48.714285714285715,80.0,81.88888888888889
2868804,2017-06-02,52,Home and kitchen i,159.0,3,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,6,2017,22.0,30.0,49.714285714285715,79.0,82.22222222222223
2870586,2017-06-03,52,Home and kitchen i,81.0,2,47.586666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,6,2017,31.0,94.0,51.0,109.0,75.88888888888889
2872368,2017-06-04,52,Home and kitchen i,80.0,4,47.49333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,6,2017,29.0,42.0,49.857142857142854,85.0,70.44444444444444
2874150,2017-06-05,52,Home and kitchen i,44.0,4,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,6,2017,32.0,49.0,45.0,56.0,65.55555555555556
