,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30
2852768,2017-05-24,52,Home appliances,1.0,0,50.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,2,5,2017,1.0,2.0,2.7142857142857144,1.0,2.0
2854550,2017-05-25,52,Home appliances,0.0,0,48.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,5,2017,1.0,6.0,2.5714285714285716,2.0,1.5555555555555556
2856332,2017-05-26,52,Home appliances,1.0,0,49.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,4,5,2017,0.0,0.0,2.0,2.0,1.7777777777777777
2858114,2017-05-27,52,Home appliances,1.0,0,49.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,5,2017,2.0,3.0,2.142857142857143,1.0,2.111111111111111
2859896,2017-05-28,52,Home appliances,1.0,0,49.605000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,5,2017,2.0,2.0,1.8571428571428572,0.0,1.5555555555555556
2861678,2017-05-29,52,Home appliances,1.0,0,49.6175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,5,2017,2.0,1.0,1.2857142857142858,0.0,1.6666666666666667
2863460,2017-05-30,52,Home appliances,1.0,0,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,5,2017,1.0,1.0,1.5714285714285714,3.0,2.111111111111111
2865242,2017-05-31,52,Home appliances,1.0,0,48.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,5,2017,1.0,0.0,1.4285714285714286,5.0,1.8888888888888888
2867024,2017-06-01,52,Home appliances,2.0,0,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,6,2017,1.0,2.0,1.2857142857142858,0.0,2.111111111111111
2868806,2017-06-02,52,Home appliances,1.0,0,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,6,2017,1.0,2.0,1.2857142857142858,2.0,2.3333333333333335
2870588,2017-06-03,52,Home appliances,2.0,0,47.586666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,6,2017,2.0,2.0,1.2857142857142858,6.0,2.4444444444444446
2872370,2017-06-04,52,Home appliances,0.0,0,47.49333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,6,2017,1.0,1.0,1.4285714285714286,0.0,2.2222222222222223
2874152,2017-06-05,52,Home appliances,1.0,0,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,6,2017,4.0,1.0,1.4285714285714286,3.0,1.6666666666666667
2875934,2017-06-06,52,Home appliances,0.0,0,48.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,6,2017,4.0,1.0,1.2857142857142858,2.0,1.8888888888888888
2877716,2017-06-07,52,Home appliances,1.0,0,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,6,2017,0.0,1.0,1.5714285714285714,1.0,1.8888888888888888
2879498,2017-06-08,52,Home appliances,0.0,0,45.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,6,2017,0.0,2.0,2.0,1.0,1.4444444444444444
2881280,2017-06-09,52,Home appliances,1.0,0,45.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,6,2017,1.0,1.0,1.8571428571428572,0.0,1.5555555555555556
2883062,2017-06-10,52,Home appliances,3.0,0,45.913333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5,6,2017,0.0,4.0,1.7142857142857142,2.0,1.3333333333333333
