,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30
2852769,2017-05-24,52,Home care,305.0,11,50.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,2,5,2017,321.0,450.0,469.14285714285717,435.0,445.6666666666667
2854551,2017-05-25,52,Home care,263.0,13,48.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,5,2017,227.0,272.0,463.2857142857143,353.0,470.44444444444446
2856333,2017-05-26,52,Home care,580.0,13,49.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,4,5,2017,233.0,323.0,406.2857142857143,397.0,494.77777777777777
2858115,2017-05-27,52,Home care,433.0,13,49.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,5,2017,261.0,510.0,384.14285714285717,314.0,508.55555555555554
2859897,2017-05-28,52,Home care,533.0,10,49.605000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,5,2017,249.0,586.0,353.14285714285717,419.0,474.3333333333333
2861679,2017-05-29,52,Home care,262.0,12,49.6175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,5,2017,463.0,321.0,351.57142857142856,622.0,476.0
2863461,2017-05-30,52,Home care,310.0,10,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,5,2017,362.0,227.0,341.0,627.0,467.0
2865243,2017-05-31,52,Home care,345.0,11,48.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,5,2017,357.0,233.0,334.2857142857143,720.0,458.77777777777777
2867025,2017-06-01,52,Home care,304.0,4,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,6,2017,304.0,261.0,302.2857142857143,382.0,480.55555555555554
2868807,2017-06-02,52,Home care,299.0,4,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,6,2017,315.0,249.0,307.42857142857144,450.0,499.1111111111111
