,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30
2852770,2017-05-24,52,Ladieswear,8.0,0,50.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,2,5,2017,27.0,12.0,13.428571428571429,15.0,16.11111111111111
2854552,2017-05-25,52,Ladieswear,6.0,0,48.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,5,2017,8.0,9.0,15.285714285714286,6.0,17.666666666666668
2856334,2017-05-26,52,Ladieswear,21.0,0,49.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,4,5,2017,8.0,6.0,14.857142857142858,17.0,16.333333333333332
2858116,2017-05-27,52,Ladieswear,17.0,0,49.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,5,2017,7.0,14.0,14.428571428571429,9.0,17.11111111111111
2859898,2017-05-28,52,Ladieswear,23.0,0,49.605000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,5,2017,3.0,25.0,13.857142857142858,9.0,14.11111111111111
2861680,2017-05-29,52,Ladieswear,3.0,0,49.6175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,5,2017,26.0,27.0,13.571428571428571,18.0,13.777777777777779
2863462,2017-05-30,52,Ladieswear,0.0,0,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,5,2017,15.0,8.0,13.142857142857142,12.0,14.11111111111111
2865244,2017-05-31,52,Ladieswear,8.0,0,48.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,5,2017,10.0,8.0,14.857142857142858,30.0,12.88888888888889
2867026,2017-06-01,52,Ladieswear,12.0,0,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,6,2017,5.0,7.0,13.428571428571429,11.0,13.444444444444445
2868808,2017-06-02,52,Ladieswear,3.0,0,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,6,2017,10.0,3.0,11.0,12.0,15.222222222222221
2870590,2017-06-03,52,Ladieswear,13.0,0,47.586666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,6,2017,6.0,26.0,10.571428571428571,9.0,16.22222222222222
2872372,2017-06-04,52,Ladieswear,19.0,0,47.49333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,6,2017,11.0,15.0,10.857142857142858,6.0,15.777777777777779
2874154,2017-06-05,52,Ladieswear,7.0,0,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,6,2017,6.0,10.0,10.714285714285714,14.0,13.333333333333334
2875936,2017-06-06,52,Ladieswear,1.0,0,48.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,6,2017,46.0,5.0,11.857142857142858,25.0,12.88888888888889
2877718,2017-06-07,52,Ladieswear,4.0,0,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,6,2017,3.0,10.0,9.0,27.0,11.88888888888889
2879500,2017-06-08,52,Ladieswear,6.0,0,45.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,6,2017,2.0,6.0,13.428571428571429,8.0,13.777777777777779
2881282,2017-06-09,52,Ladieswear,4.0,0,45.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,6,2017,8.0,11.0,12.428571428571429,8.0,14.777777777777779
2883064,2017-06-10,52,Ladieswear,13.0,0,45.913333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5,6,2017,6.0,6.0,12.0,7.0,14.333333333333334
2884846,2017-06-11,52,Ladieswear,18.0,0,46.00666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6,6,2017,21.0,46.0,11.714285714285714,3.0,12.11111111111111
2886628,2017-06-12,52,Ladieswear,8.0,0,46.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,6,2017,17.0,3.0,11.714285714285714,26.0,10.222222222222221
2888410,2017-06-13,52,Ladieswear,6.0,0,46.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,6,2017,23.0,2.0,13.142857142857142,15.0,10.0
2890192,2017-06-14,52,Ladieswear,16.0,0,44.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2,6,2017,3.0,8.0,14.714285714285714,10.0,10.333333333333334
