,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30
2852771,2017-05-24,52,Lawn and garden,37.0,11,50.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,2,5,2017,39.0,61.0,47.714285714285715,10.0,42.888888888888886
2854553,2017-05-25,52,Lawn and garden,41.0,0,48.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,5,2017,37.0,33.0,44.57142857142857,12.0,46.55555555555556
2856335,2017-05-26,52,Lawn and garden,98.0,0,49.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,4,5,2017,78.0,40.0,46.42857142857143,26.0,48.44444444444444
2858117,2017-05-27,52,Lawn and garden,52.0,0,49.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,5,2017,140.0,84.0,47.42857142857143,45.0,42.55555555555556
2859899,2017-05-28,52,Lawn and garden,45.0,0,49.605000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,5,2017,180.0,38.0,49.857142857142854,66.0,40.0
2861681,2017-05-29,52,Lawn and garden,41.0,0,49.6175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,5,2017,712.0,39.0,65.14285714285714,85.0,45.666666666666664
2863463,2017-05-30,52,Lawn and garden,50.0,0,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,5,2017,119.0,37.0,85.14285714285714,60.0,48.0
2865245,2017-05-31,52,Lawn and garden,53.0,9,48.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,5,2017,3.0,78.0,174.85714285714286,26.0,49.55555555555556
2867027,2017-06-01,52,Lawn and garden,37.0,0,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,6,2017,18.0,140.0,186.42857142857142,30.0,53.888888888888886
2868809,2017-06-02,52,Lawn and garden,46.0,0,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,6,2017,59.0,180.0,181.28571428571428,61.0,50.77777777777778
2870591,2017-06-03,52,Lawn and garden,86.0,0,47.586666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,6,2017,16.0,712.0,178.57142857142858,33.0,45.666666666666664
2872373,2017-06-04,52,Lawn and garden,53.0,0,47.49333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,6,2017,79.0,119.0,175.85714285714286,40.0,43.111111111111114
2874155,2017-06-05,52,Lawn and garden,39.0,0,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,6,2017,73.0,3.0,158.14285714285714,84.0,48.888888888888886
