,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30
2852772,2017-05-24,52,Lingerie,0.0,0,50.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,2,5,2017,9.0,6.0,11.0,28.0,19.0
2854554,2017-05-25,52,Lingerie,3.0,0,48.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,5,2017,3.0,3.0,10.714285714285714,10.0,18.11111111111111
2856336,2017-05-26,52,Lingerie,7.0,0,49.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,4,5,2017,9.0,8.0,8.857142857142858,9.0,19.0
2858118,2017-05-27,52,Lingerie,6.0,0,49.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,5,2017,2.0,7.0,8.0,6.0,17.88888888888889
2859900,2017-05-28,52,Lingerie,10.0,0,49.605000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,5,2017,11.0,20.0,8.428571428571429,7.0,13.88888888888889
2861682,2017-05-29,52,Lingerie,12.0,0,49.6175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,5,2017,17.0,9.0,8.285714285714286,12.0,11.444444444444445
2863464,2017-05-30,52,Lingerie,4.0,0,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,5,2017,7.0,3.0,8.714285714285714,22.0,10.666666666666666
2865246,2017-05-31,52,Lingerie,3.0,0,48.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,5,2017,5.0,9.0,10.142857142857142,22.0,10.555555555555555
2867028,2017-06-01,52,Lingerie,8.0,0,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,6,2017,6.0,2.0,8.285714285714286,9.0,10.666666666666666
2868810,2017-06-02,52,Lingerie,7.0,0,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,6,2017,8.0,11.0,7.714285714285714,6.0,12.11111111111111
2870592,2017-06-03,52,Lingerie,7.0,0,47.586666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,6,2017,4.0,17.0,8.142857142857142,3.0,11.777777777777779
2872374,2017-06-04,52,Lingerie,19.0,0,47.49333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,6,2017,3.0,7.0,8.0,8.0,9.666666666666666
2874156,2017-06-05,52,Lingerie,5.0,0,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,6,2017,2.0,5.0,8.285714285714286,7.0,8.222222222222221
2875938,2017-06-06,52,Lingerie,2.0,0,48.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,6,2017,11.0,6.0,7.142857142857143,20.0,7.444444444444445
2877720,2017-06-07,52,Lingerie,15.0,0,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,6,2017,1.0,8.0,5.0,9.0,8.0
2879502,2017-06-08,52,Lingerie,9.0,0,45.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,6,2017,3.0,4.0,5.571428571428571,3.0,9.555555555555555
2881284,2017-06-09,52,Lingerie,3.0,1,45.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,6,2017,0.0,3.0,5.0,9.0,9.444444444444445
2883066,2017-06-10,52,Lingerie,10.0,0,45.913333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5,6,2017,3.0,2.0,4.571428571428571,2.0,9.222222222222221
