,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30
2852773,2017-05-24,52,"Liquor,wine,beer",149.0,4,50.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,2,5,2017,103.0,102.0,159.85714285714286,142.0,165.22222222222223
2854555,2017-05-25,52,"Liquor,wine,beer",240.0,4,48.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,5,2017,130.0,165.0,153.85714285714286,165.0,184.22222222222223
2856337,2017-05-26,52,"Liquor,wine,beer",427.0,3,49.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,4,5,2017,143.0,195.0,149.71428571428572,88.0,184.66666666666666
2858119,2017-05-27,52,"Liquor,wine,beer",382.0,5,49.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,5,2017,177.0,250.0,156.42857142857142,131.0,171.22222222222223
2859901,2017-05-28,52,"Liquor,wine,beer",102.0,6,49.605000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,5,2017,235.0,150.0,162.28571428571428,248.0,163.77777777777777
2861683,2017-05-29,52,"Liquor,wine,beer",92.0,7,49.6175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,5,2017,461.0,103.0,164.0,293.0,159.33333333333334
2863465,2017-05-30,52,"Liquor,wine,beer",118.0,7,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,5,2017,187.0,130.0,169.71428571428572,192.0,159.33333333333334
2865247,2017-05-31,52,"Liquor,wine,beer",148.0,5,48.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,5,2017,130.0,143.0,199.85714285714286,132.0,171.22222222222223
2867029,2017-06-01,52,"Liquor,wine,beer",129.0,4,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,6,2017,136.0,177.0,205.14285714285714,83.0,184.44444444444446
2868811,2017-06-02,52,"Liquor,wine,beer",302.0,2,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,6,2017,148.0,235.0,209.0,102.0,173.55555555555554
2870593,2017-06-03,52,"Liquor,wine,beer",379.0,3,47.586666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,6,2017,207.0,461.0,209.85714285714286,165.0,152.44444444444446
2872375,2017-06-04,52,"Liquor,wine,beer",129.0,2,47.49333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,6,2017,250.0,187.0,210.57142857142858,195.0,145.55555555555554
2874157,2017-06-05,52,"Liquor,wine,beer",121.0,4,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,6,2017,298.0,130.0,214.85714285714286,250.0,146.77777777777777
2875939,2017-06-06,52,"Liquor,wine,beer",117.0,4,48.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,6,2017,180.0,136.0,217.0,150.0,157.22222222222223
2877721,2017-06-07,52,"Liquor,wine,beer",153.0,5,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,6,2017,110.0,148.0,193.71428571428572,103.0,172.0
2879503,2017-06-08,52,"Liquor,wine,beer",167.0,5,45.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,6,2017,118.0,207.0,192.71428571428572,130.0,204.88888888888889
2881285,2017-06-09,52,"Liquor,wine,beer",210.0,7,45.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,6,2017,149.0,250.0,189.85714285714286,143.0,204.0
2883067,2017-06-10,52,"Liquor,wine,beer",309.0,6,45.913333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5,6,2017,240.0,298.0,187.28571428571428,177.0,190.66666666666666
2884849,2017-06-11,52,"Liquor,wine,beer",136.0,5,46.00666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6,6,2017,427.0,180.0,187.42857142857142,235.0,189.11111111111111
2886631,2017-06-12,52,"Liquor,wine,beer",97.0,7,46.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,6,2017,382.0,110.0,192.14285714285714,461.0,194.11111111111111
2888413,2017-06-13,52,"Liquor,wine,beer",122.0,6,46.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,6,2017,102.0,118.0,217.42857142857142,187.0,202.66666666666666
2890195,2017-06-14,52,"Liquor,wine,beer",139.0,6,44.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2,6,2017,92.0,149.0,229.42857142857142,130.0,214.55555555555554
2891977,2017-06-15,52,"Liquor,wine,beer",259.0,6,44.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3,6,2017,118.0,240.0,218.28571428571428,136.0,228.0
2893759,2017-06-16,52,"Liquor,wine,beer",252.0,8,44.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,4,6,2017,148.0,427.0,215.71428571428572,148.0,221.88888888888889
2895541,2017-06-17,52,"Liquor,wine,beer",428.0,8,44.56666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,5,6,2017,129.0,382.0,215.71428571428572,207.0,182.88888888888889
2897323,2017-06-18,52,"Liquor,wine,beer",168.0,5,44.403333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,6,6,2017,302.0,102.0,215.57142857142858,250.0,175.22222222222223
2899105,2017-06-19,52,"Liquor,wine,beer",97.0,4,44.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,6,2017,379.0,92.0,199.71428571428572,298.0,177.33333333333334
2900887,2017-06-20,52,"Liquor,wine,beer",176.0,4,43.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1,6,2017,129.0,118.0,181.85714285714286,180.0,188.88888888888889
2902669,2017-06-21,52,"Liquor,wine,beer",117.0,3,42.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,2,6,2017,121.0,148.0,181.42857142857142,110.0,219.88888888888889
2904451,2017-06-22,52,"Liquor,wine,beer",159.0,2,42.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,3,6,2017,117.0,129.0,185.28571428571428,118.0,239.33333333333334
2906233,2017-06-23,52,"Liquor,wine,beer",264.0,3,42.86,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,4,6,2017,153.0,302.0,189.42857142857142,149.0,222.88888888888889
2908015,2017-06-24,52,"Liquor,wine,beer",325.0,3,42.986666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,5,6,2017,167.0,379.0,189.28571428571428,240.0,200.0
2909797,2017-06-25,52,"Liquor,wine,beer",181.0,3,43.11333333333334,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,25,6,6,2017,210.0,129.0,190.0,427.0,193.11111111111111
2911579,2017-06-26,52,"Liquor,wine,beer",311.0,3,43.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,6,2017,309.0,121.0,195.42857142857142,382.0,197.33333333333334
2913361,2017-06-27,52,"Liquor,wine,beer",102.0,1,44.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,1,6,2017,136.0,117.0,182.28571428571428,102.0,198.55555555555554
2915143,2017-06-28,52,"Liquor,wine,beer",163.0,2,44.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,2,6,2017,97.0,153.0,172.28571428571428,92.0,215.55555555555554
2916925,2017-06-29,52,"Liquor,wine,beer",155.0,6,44.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,3,6,2017,122.0,167.0,173.28571428571428,118.0,231.0
2918707,2017-06-30,52,"Liquor,wine,beer",317.0,4,46.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,4,6,2017,139.0,210.0,169.85714285714286,148.0,197.88888888888889
2920489,2017-07-01,52,"Liquor,wine,beer",289.0,6,45.838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,7,2017,259.0,309.0,170.57142857142858,129.0,168.88888888888889
2922271,2017-07-02,52,"Liquor,wine,beer",172.0,4,45.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,7,2017,252.0,136.0,168.57142857142858,302.0,170.55555555555554
2924053,2017-07-03,52,"Liquor,wine,beer",149.0,2,45.474000000000004,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,7,2017,428.0,97.0,181.71428571428572,379.0,177.33333333333334
2925835,2017-07-04,52,"Liquor,wine,beer",83.0,3,45.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,7,2017,168.0,122.0,187.71428571428572,129.0,182.77777777777777
2927617,2017-07-05,52,"Liquor,wine,beer",166.0,3,45.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,7,2017,97.0,139.0,204.71428571428572,121.0,189.66666666666666
2929399,2017-07-06,52,"Liquor,wine,beer",181.0,3,45.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3,7,2017,176.0,259.0,209.28571428571428,117.0,209.66666666666666
2931181,2017-07-07,52,"Liquor,wine,beer",240.0,4,44.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,4,7,2017,117.0,252.0,209.28571428571428,153.0,191.22222222222223
2932963,2017-07-08,52,"Liquor,wine,beer",371.0,6,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,7,2017,159.0,428.0,217.0,167.0,159.88888888888889
2934745,2017-07-09,52,"Liquor,wine,beer",111.0,4,44.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6,7,2017,264.0,168.0,213.85714285714286,210.0,159.11111111111111
2936527,2017-07-10,52,"Liquor,wine,beer",133.0,3,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,7,2017,325.0,97.0,199.57142857142858,309.0,161.11111111111111
2938309,2017-07-11,52,"Liquor,wine,beer",101.0,4,45.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1,7,2017,181.0,176.0,201.28571428571428,136.0,176.88888888888889
2940091,2017-07-12,52,"Liquor,wine,beer",199.0,6,45.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2,7,2017,311.0,117.0,186.57142857142858,97.0,187.88888888888889
2941873,2017-07-13,52,"Liquor,wine,beer",178.0,6,46.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,3,7,2017,102.0,159.0,188.42857142857142,122.0,216.88888888888889
2943655,2017-07-14,52,"Liquor,wine,beer",291.0,6,46.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,4,7,2017,163.0,264.0,219.0,139.0,212.22222222222223
2945437,2017-07-15,52,"Liquor,wine,beer",417.0,6,46.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,5,7,2017,155.0,325.0,208.42857142857142,259.0,188.66666666666666
2947219,2017-07-16,52,"Liquor,wine,beer",215.0,6,46.190000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,6,7,2017,317.0,181.0,215.0,252.0,193.11111111111111
2949001,2017-07-17,52,"Liquor,wine,beer",151.0,5,46.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,7,2017,289.0,311.0,214.42857142857142,428.0,195.33333333333334
2950783,2017-07-18,52,"Liquor,wine,beer",159.0,4,46.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,1,7,2017,172.0,102.0,222.0,168.0,199.44444444444446
2952565,2017-07-19,52,"Liquor,wine,beer",218.0,6,47.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2,7,2017,149.0,163.0,216.85714285714286,97.0,213.33333333333334
2954347,2017-07-20,52,"Liquor,wine,beer",217.0,4,46.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,3,7,2017,83.0,155.0,215.57142857142858,176.0,220.66666666666666
2956129,2017-07-21,52,"Liquor,wine,beer",330.0,6,45.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,4,7,2017,166.0,317.0,192.42857142857142,117.0,212.77777777777777
2957911,2017-07-22,52,"Liquor,wine,beer",327.0,5,45.92333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,5,7,2017,181.0,289.0,189.71428571428572,159.0,199.77777777777777
2959693,2017-07-23,52,"Liquor,wine,beer",171.0,4,46.06666666666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,6,7,2017,240.0,172.0,190.14285714285714,264.0,192.44444444444446
2961475,2017-07-24,52,"Liquor,wine,beer",129.0,4,46.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,7,2017,371.0,149.0,193.85714285714286,325.0,199.77777777777777
2963257,2017-07-25,52,"Liquor,wine,beer",121.0,4,47.77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,1,7,2017,111.0,83.0,182.85714285714286,181.0,197.44444444444446
2965039,2017-07-26,52,"Liquor,wine,beer",211.0,4,48.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,2,7,2017,133.0,166.0,194.57142857142858,311.0,219.66666666666666
2966821,2017-07-27,52,"Liquor,wine,beer",387.0,4,49.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,3,7,2017,101.0,181.0,185.85714285714286,102.0,234.11111111111111
2968603,2017-07-28,52,"Liquor,wine,beer",343.0,5,49.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,4,7,2017,199.0,240.0,183.57142857142858,163.0,223.88888888888889
2970385,2017-07-29,52,"Liquor,wine,beer",500.0,5,49.88333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,5,7,2017,178.0,371.0,186.14285714285714,155.0,204.33333333333334
2972167,2017-07-30,52,"Liquor,wine,beer",212.0,4,50.04666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,6,7,2017,291.0,111.0,190.85714285714286,317.0,193.44444444444446
2973949,2017-07-31,52,"Liquor,wine,beer",151.0,4,50.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0,7,2017,417.0,133.0,190.42857142857142,289.0,177.33333333333334
2975731,2017-08-01,52,"Liquor,wine,beer",181.0,4,49.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,8,2017,215.0,101.0,197.71428571428572,172.0,186.11111111111111
2977513,2017-08-02,52,"Liquor,wine,beer",296.0,5,49.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,8,2017,151.0,199.0,204.28571428571428,149.0,194.66666666666666
2979295,2017-08-03,52,"Liquor,wine,beer",242.0,4,49.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,8,2017,159.0,178.0,219.14285714285714,83.0,218.66666666666666
2981077,2017-08-04,52,"Liquor,wine,beer",333.0,5,49.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,8,2017,218.0,291.0,221.71428571428572,166.0,195.77777777777777
2982859,2017-08-05,52,"Liquor,wine,beer",332.0,6,49.50333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,8,2017,217.0,417.0,230.0,181.0,178.44444444444446
2984641,2017-08-06,52,"Liquor,wine,beer",128.0,5,49.43666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,8,2017,330.0,215.0,232.71428571428572,240.0,170.55555555555554
2986423,2017-08-07,52,"Liquor,wine,beer",179.0,3,49.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,8,2017,327.0,151.0,238.28571428571428,371.0,176.11111111111111
2988205,2017-08-08,52,"Liquor,wine,beer",188.0,3,49.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,8,2017,171.0,159.0,243.85714285714286,111.0,186.66666666666666
