,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30
2852774,2017-05-24,52,Magazines,5.0,0,50.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,2,5,2017,8.0,14.0,12.714285714285714,19.0,14.666666666666666
2854556,2017-05-25,52,Magazines,7.0,0,48.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,5,2017,4.0,7.0,12.571428571428571,14.0,15.222222222222221
2856338,2017-05-26,52,Magazines,16.0,0,49.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,4,5,2017,10.0,18.0,11.571428571428571,13.0,14.777777777777779
2858120,2017-05-27,52,Magazines,14.0,0,49.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,5,2017,13.0,11.0,10.714285714285714,12.0,14.444444444444445
2859902,2017-05-28,52,Magazines,8.0,0,49.605000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,5,2017,17.0,13.0,10.142857142857142,11.0,14.333333333333334
2861684,2017-05-29,52,Magazines,10.0,0,49.6175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,5,2017,19.0,8.0,11.0,21.0,13.777777777777779
2863466,2017-05-30,52,Magazines,10.0,0,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,5,2017,11.0,4.0,10.857142857142858,14.0,13.0
2865248,2017-05-31,52,Magazines,6.0,0,48.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,5,2017,11.0,10.0,12.0,15.0,13.555555555555555
2867030,2017-06-01,52,Magazines,7.0,0,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,6,2017,11.0,13.0,11.714285714285714,10.0,13.444444444444445
2868812,2017-06-02,52,Magazines,6.0,0,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,6,2017,7.0,17.0,12.142857142857142,14.0,13.666666666666666
2870594,2017-06-03,52,Magazines,7.0,0,47.586666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,6,2017,13.0,19.0,13.142857142857142,7.0,12.222222222222221
2872376,2017-06-04,52,Magazines,11.0,0,47.49333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,6,2017,13.0,11.0,12.714285714285714,18.0,11.11111111111111
2874158,2017-06-05,52,Magazines,8.0,0,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,6,2017,17.0,11.0,12.714285714285714,11.0,10.555555555555555
2875940,2017-06-06,52,Magazines,4.0,0,48.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,6,2017,19.0,11.0,12.142857142857142,13.0,10.88888888888889
2877722,2017-06-07,52,Magazines,7.0,0,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,6,2017,10.0,7.0,11.857142857142858,8.0,11.222222222222221
2879504,2017-06-08,52,Magazines,9.0,0,45.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,6,2017,7.0,13.0,13.0,4.0,12.555555555555555
2881286,2017-06-09,52,Magazines,8.0,0,45.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,6,2017,5.0,13.0,12.857142857142858,10.0,11.777777777777779
2883068,2017-06-10,52,Magazines,19.0,0,45.913333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5,6,2017,7.0,17.0,12.285714285714286,13.0,11.777777777777779
2884850,2017-06-11,52,Magazines,18.0,0,46.00666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6,6,2017,16.0,19.0,12.0,17.0,11.555555555555555
2886632,2017-06-12,52,Magazines,6.0,0,46.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,6,2017,14.0,10.0,11.142857142857142,19.0,11.444444444444445
2888414,2017-06-13,52,Magazines,11.0,0,46.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,6,2017,8.0,7.0,11.571428571428571,11.0,12.444444444444445
2890196,2017-06-14,52,Magazines,8.0,0,44.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2,6,2017,10.0,5.0,11.142857142857142,11.0,12.777777777777779
2891978,2017-06-15,52,Magazines,7.0,0,44.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3,6,2017,10.0,7.0,9.571428571428571,11.0,13.222222222222221
2893760,2017-06-16,52,Magazines,9.0,0,44.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,4,6,2017,6.0,16.0,9.571428571428571,7.0,13.444444444444445
2895542,2017-06-17,52,Magazines,17.0,0,44.56666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,5,6,2017,7.0,14.0,10.0,13.0,12.444444444444445
2897324,2017-06-18,52,Magazines,9.0,0,44.403333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,6,6,2017,6.0,8.0,10.142857142857142,13.0,12.0
