,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30
2852775,2017-05-24,52,Meats,422.249,0,50.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,2,5,2017,367.358,422.415,513.1624242857143,506.51,524.1441111111111
2854557,2017-05-25,52,Meats,382.942,0,48.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,5,2017,287.222,319.016,508.83556714285714,340.387,542.6588888888888
2856339,2017-05-26,52,Meats,1050.017,49,49.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,4,5,2017,368.72,688.459,467.60228571428576,348.292,523.7114444444445
2858121,2017-05-27,52,Meats,536.853,0,49.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,5,2017,334.858,581.901,451.1001428571429,381.395,539.4189966666667
2859903,2017-05-28,52,Meats,465.885,0,49.605000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,5,2017,747.321,491.33,443.4294285714286,946.053,519.3656633333334
2861685,2017-05-29,52,Meats,346.196,1,49.6175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,5,2017,558.961,367.358,445.6925714285714,571.308,510.0217744444444
2863467,2017-05-30,52,Meats,393.137,1,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,5,2017,370.727,287.222,454.1014285714286,521.618,507.647218888889
2865249,2017-05-31,52,Meats,484.632,0,48.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,5,2017,399.652,368.72,450.82428571428574,655.99097,545.4435522222223
2867031,2017-06-01,52,Meats,360.266,1,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,6,2017,459.794,334.858,433.5952857142857,402.737,567.7219966666667
2868813,2017-06-02,52,Meats,876.041,47,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,6,2017,486.719,747.321,438.20871428571434,422.415,517.197218888889
2870595,2017-06-03,52,Meats,509.204,45,47.586666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,6,2017,312.877,558.961,462.8618571428571,319.016,494.5361077777777
2872377,2017-06-04,52,Meats,568.335,46,47.49333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,6,2017,689.229,370.727,479.7188571428572,688.459,468.4921077777778
2874159,2017-06-05,52,Meats,423.688,40,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,6,2017,558.048,399.652,476.5787142857143,581.901,436.57311111111113
2875941,2017-06-06,52,Meats,319.142,40,48.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,6,2017,557.185,459.794,468.2798571428571,491.33,429.031
2877723,2017-06-07,52,Meats,416.658,43,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,6,2017,396.057,486.719,468.1494285714286,367.358,465.1316666666667
2879505,2017-06-08,52,Meats,315.561,41,45.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,6,2017,327.581,312.877,494.7862857142857,287.222,491.7922222222222
2881287,2017-06-09,52,Meats,720.847,51,45.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,6,2017,422.249,689.229,494.2727142857143,368.72,456.4886666666667
2883069,2017-06-10,52,Meats,574.635,48,45.913333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5,6,2017,382.942,558.048,475.3851428571429,334.858,436.2387777777778
2884851,2017-06-11,52,Meats,634.148,44,46.00666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6,6,2017,1050.017,557.185,466.1751428571429,747.321,432.73477777777777
2886633,2017-06-12,52,Meats,366.084,44,46.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,6,2017,536.853,396.057,476.1844285714286,558.961,445.9971111111111
2888415,2017-06-13,52,Meats,278.27,46,46.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,6,2017,465.885,327.581,527.7255714285715,370.727,448.84766666666667
2890197,2017-06-14,52,Meats,436.22,46,44.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2,6,2017,346.196,422.249,524.6977142857143,399.652,484.4597777777778
2891979,2017-06-15,52,Meats,353.089,42,44.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3,6,2017,393.137,382.942,511.65485714285717,459.794,509.2586666666667
2893761,2017-06-16,52,Meats,732.557,48,44.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,4,6,2017,484.632,1050.017,504.5318571428571,486.719,488.13244444444445
2895543,2017-06-17,52,Meats,618.686,49,44.56666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,5,6,2017,360.266,536.853,513.897,312.877,470.03200000000004
