,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30
2852776,2017-05-24,52,Personal care,283.0,10,50.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,2,5,2017,291.0,464.0,514.4285714285714,447.0,461.55555555555554
2854558,2017-05-25,52,Personal care,243.0,10,48.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,5,2017,276.0,336.0,505.57142857142856,373.0,517.1111111111111
2856340,2017-05-26,52,Personal care,608.0,10,49.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,4,5,2017,268.0,305.0,433.57142857142856,466.0,543.7777777777778
2858122,2017-05-27,52,Personal care,454.0,9,49.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,5,2017,259.0,551.0,411.7142857142857,345.0,570.2222222222222
2859904,2017-05-28,52,Personal care,575.0,11,49.605000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,5,2017,274.0,659.0,383.7142857142857,415.0,536.2222222222222
2861686,2017-05-29,52,Personal care,240.0,9,49.6175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,5,2017,529.0,291.0,372.7142857142857,835.0,538.1111111111111
2863468,2017-05-30,52,Personal care,252.0,9,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,5,2017,408.0,276.0,368.2857142857143,721.0,534.0
2865250,2017-05-31,52,Personal care,383.0,8,48.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,5,2017,383.0,268.0,365.14285714285717,795.0,516.1111111111111
2867032,2017-06-01,52,Personal care,333.0,0,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,6,2017,435.0,259.0,329.2857142857143,429.0,539.0
2868814,2017-06-02,52,Personal care,347.0,10,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,6,2017,352.0,274.0,342.42857142857144,464.0,566.1111111111111
2870596,2017-06-03,52,Personal care,566.0,10,47.586666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,6,2017,358.0,529.0,365.14285714285717,336.0,505.6666666666667
2872378,2017-06-04,52,Personal care,687.0,11,47.49333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,6,2017,273.0,408.0,377.14285714285717,305.0,456.22222222222223
2874160,2017-06-05,52,Personal care,351.0,9,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,6,2017,510.0,383.0,391.2857142857143,551.0,397.6666666666667
2875942,2017-06-06,52,Personal care,389.0,11,48.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,6,2017,566.0,435.0,391.14285714285717,659.0,378.77777777777777
2877724,2017-06-07,52,Personal care,338.0,10,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,6,2017,324.0,352.0,388.42857142857144,291.0,357.6666666666667
2879506,2017-06-08,52,Personal care,241.0,8,45.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,6,2017,281.0,358.0,411.0,276.0,379.1111111111111
2881288,2017-06-09,52,Personal care,276.0,10,45.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,6,2017,283.0,273.0,402.57142857142856,268.0,390.55555555555554
2883070,2017-06-10,52,Personal care,431.0,11,45.913333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5,6,2017,243.0,510.0,380.57142857142856,259.0,371.8888888888889
2884852,2017-06-11,52,Personal care,518.0,13,46.00666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6,6,2017,608.0,566.0,370.7142857142857,274.0,347.0
2886634,2017-06-12,52,Personal care,257.0,9,46.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,6,2017,454.0,324.0,354.2857142857143,529.0,353.77777777777777
2888416,2017-06-13,52,Personal care,253.0,8,46.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,6,2017,575.0,281.0,402.14285714285717,408.0,362.8888888888889
2890198,2017-06-14,52,Personal care,300.0,14,44.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2,6,2017,240.0,283.0,394.14285714285717,383.0,363.44444444444446
2891980,2017-06-15,52,Personal care,250.0,10,44.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3,6,2017,252.0,243.0,395.42857142857144,435.0,391.3333333333333
2893762,2017-06-16,52,Personal care,312.0,8,44.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,4,6,2017,383.0,608.0,383.42857142857144,352.0,423.77777777777777
2895544,2017-06-17,52,Personal care,545.0,13,44.56666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,5,6,2017,333.0,454.0,379.2857142857143,358.0,401.0
2897326,2017-06-18,52,Personal care,412.0,7,44.403333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,6,6,2017,347.0,575.0,393.57142857142856,273.0,386.8888888888889
2899108,2017-06-19,52,Personal care,292.0,5,44.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,6,2017,566.0,240.0,406.42857142857144,510.0,375.77777777777777
2900890,2017-06-20,52,Personal care,273.0,10,43.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1,6,2017,687.0,252.0,369.14285714285717,566.0,354.44444444444446
2902672,2017-06-21,52,Personal care,303.0,8,42.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,2,6,2017,351.0,383.0,385.14285714285717,324.0,382.8888888888889
2904454,2017-06-22,52,Personal care,196.0,6,42.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,3,6,2017,389.0,333.0,401.14285714285717,281.0,393.55555555555554
2906236,2017-06-23,52,Personal care,292.0,8,42.86,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,4,6,2017,338.0,347.0,417.0,283.0,427.1111111111111
2908018,2017-06-24,52,Personal care,393.0,8,42.986666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,5,6,2017,241.0,566.0,436.57142857142856,243.0,397.1111111111111
2909800,2017-06-25,52,Personal care,443.0,7,43.11333333333334,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,25,6,6,2017,276.0,687.0,430.14285714285717,608.0,362.22222222222223
2911582,2017-06-26,52,Personal care,456.0,9,43.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,6,2017,431.0,351.0,417.0,454.0,368.77777777777777
2913364,2017-06-27,52,Personal care,242.0,8,44.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,1,6,2017,518.0,389.0,406.85714285714283,575.0,374.55555555555554
2915146,2017-06-28,52,Personal care,329.0,8,44.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,2,6,2017,257.0,338.0,387.57142857142856,240.0,381.6666666666667
2916928,2017-06-29,52,Personal care,250.0,8,44.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,3,6,2017,253.0,241.0,363.42857142857144,252.0,417.55555555555554
2918710,2017-06-30,52,Personal care,301.0,7,46.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,4,6,2017,300.0,276.0,350.0,383.0,426.3333333333333
2920492,2017-07-01,52,Personal care,510.0,7,45.838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,7,2017,250.0,431.0,330.57142857142856,333.0,414.8888888888889
2922274,2017-07-02,52,Personal care,629.0,7,45.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,7,2017,312.0,518.0,325.14285714285717,347.0,394.22222222222223
2924056,2017-07-03,52,Personal care,379.0,4,45.474000000000004,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,7,2017,545.0,257.0,326.42857142857144,566.0,405.1111111111111
2925838,2017-07-04,52,Personal care,257.0,8,45.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,7,2017,412.0,253.0,331.57142857142856,687.0,403.8888888888889
2927620,2017-07-05,52,Personal care,327.0,6,45.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,7,2017,292.0,300.0,347.85714285714283,351.0,392.0
2929402,2017-07-06,52,Personal care,199.0,3,45.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3,7,2017,273.0,250.0,332.7142857142857,389.0,402.8888888888889
2931184,2017-07-07,52,Personal care,304.0,4,44.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,4,7,2017,303.0,312.0,337.7142857142857,338.0,421.8888888888889
2932966,2017-07-08,52,Personal care,415.0,2,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,7,2017,196.0,545.0,340.57142857142856,241.0,387.55555555555554
2934748,2017-07-09,52,Personal care,514.0,5,44.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6,7,2017,292.0,412.0,341.0,276.0,339.3333333333333
2936530,2017-07-10,52,Personal care,274.0,1,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,7,2017,393.0,292.0,333.2857142857143,431.0,333.6666666666667
2938312,2017-07-11,52,Personal care,203.0,2,45.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1,7,2017,443.0,273.0,330.42857142857144,518.0,318.22222222222223
2940094,2017-07-12,52,Personal care,227.0,3,45.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2,7,2017,456.0,303.0,308.7142857142857,257.0,315.3333333333333
2941876,2017-07-13,52,Personal care,262.0,6,46.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,3,7,2017,242.0,196.0,313.14285714285717,253.0,349.1111111111111
2943658,2017-07-14,52,Personal care,296.0,4,46.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,4,7,2017,329.0,292.0,336.57142857142856,300.0,364.22222222222223
2945440,2017-07-15,52,Personal care,462.0,6,46.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,5,7,2017,250.0,393.0,332.14285714285717,250.0,348.77777777777777
2947222,2017-07-16,52,Personal care,560.0,6,46.190000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,6,7,2017,301.0,443.0,335.85714285714283,312.0,321.55555555555554
2949004,2017-07-17,52,Personal care,321.0,4,46.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,7,2017,510.0,456.0,343.57142857142856,545.0,326.6666666666667
2950786,2017-07-18,52,Personal care,279.0,4,46.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,1,7,2017,629.0,242.0,344.85714285714283,412.0,320.3333333333333
2952568,2017-07-19,52,Personal care,291.0,6,47.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2,7,2017,379.0,329.0,361.57142857142856,292.0,319.44444444444446
2954350,2017-07-20,52,Personal care,307.0,5,46.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,3,7,2017,257.0,250.0,388.14285714285717,273.0,335.3333333333333
2956132,2017-07-21,52,Personal care,298.0,5,45.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,4,7,2017,327.0,301.0,377.14285714285717,303.0,349.8888888888889
2957914,2017-07-22,52,Personal care,397.0,7,45.92333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,5,7,2017,199.0,510.0,379.2857142857143,196.0,340.0
2959696,2017-07-23,52,Personal care,525.0,5,46.06666666666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,6,7,2017,304.0,629.0,379.0,292.0,321.1111111111111
2961478,2017-07-24,52,Personal care,258.0,5,46.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,7,2017,415.0,379.0,371.7142857142857,393.0,325.22222222222223
2963260,2017-07-25,52,Personal care,245.0,2,47.77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,1,7,2017,514.0,257.0,372.14285714285717,443.0,322.6666666666667
2965042,2017-07-26,52,Personal care,307.0,4,48.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,2,7,2017,274.0,327.0,358.57142857142856,456.0,322.44444444444446
2966824,2017-07-27,52,Personal care,230.0,7,49.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,3,7,2017,203.0,199.0,342.14285714285717,242.0,357.3333333333333
