,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30
2852777,2017-05-24,52,Pet supplies,7.0,0,50.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,2,5,2017,10.0,14.0,16.285714285714285,5.0,13.333333333333334
2854559,2017-05-25,52,Pet supplies,9.0,0,48.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,5,2017,9.0,13.0,13.0,3.0,14.0
2856341,2017-05-26,52,Pet supplies,13.0,0,49.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,4,5,2017,6.0,10.0,12.142857142857142,4.0,15.666666666666666
2858123,2017-05-27,52,Pet supplies,18.0,0,49.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,5,2017,12.0,17.0,11.285714285714286,16.0,15.555555555555555
2859905,2017-05-28,52,Pet supplies,14.0,0,49.605000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,5,2017,18.0,6.0,10.142857142857142,32.0,15.666666666666666
2861687,2017-05-29,52,Pet supplies,13.0,0,49.6175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,5,2017,17.0,10.0,10.0,21.0,16.666666666666668
2863469,2017-05-30,52,Pet supplies,11.0,0,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,5,2017,20.0,9.0,11.142857142857142,29.0,17.77777777777778
2865251,2017-05-31,52,Pet supplies,14.0,0,48.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,5,2017,12.0,6.0,11.142857142857142,16.0,18.444444444444443
2867033,2017-06-01,52,Pet supplies,12.0,0,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,6,2017,16.0,12.0,13.142857142857142,15.0,18.555555555555557
2868815,2017-06-02,52,Pet supplies,10.0,0,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,6,2017,16.0,18.0,13.428571428571429,14.0,15.666666666666666
2870597,2017-06-03,52,Pet supplies,16.0,0,47.586666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,6,2017,17.0,17.0,14.428571428571429,13.0,14.444444444444445
2872379,2017-06-04,52,Pet supplies,11.0,0,47.49333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,6,2017,8.0,20.0,15.857142857142858,10.0,12.222222222222221
2874161,2017-06-05,52,Pet supplies,7.0,0,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,6,2017,15.0,12.0,16.571428571428573,17.0,11.11111111111111
2875943,2017-06-06,52,Pet supplies,10.0,0,48.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,6,2017,22.0,16.0,15.142857142857142,6.0,10.777777777777779
2877725,2017-06-07,52,Pet supplies,11.0,0,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,6,2017,11.0,16.0,14.857142857142858,10.0,11.222222222222221
2879507,2017-06-08,52,Pet supplies,15.0,0,45.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,6,2017,9.0,17.0,15.142857142857142,9.0,11.666666666666666
2881289,2017-06-09,52,Pet supplies,20.0,0,45.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,6,2017,7.0,8.0,15.0,6.0,12.777777777777779
2883071,2017-06-10,52,Pet supplies,12.0,0,45.913333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5,6,2017,9.0,15.0,14.0,12.0,12.222222222222221
2884853,2017-06-11,52,Pet supplies,9.0,0,46.00666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6,6,2017,13.0,22.0,12.714285714285714,18.0,13.333333333333334
2886635,2017-06-12,52,Pet supplies,12.0,0,46.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,6,2017,18.0,11.0,11.571428571428571,17.0,14.0
2888417,2017-06-13,52,Pet supplies,8.0,1,46.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,6,2017,14.0,9.0,12.285714285714286,20.0,14.88888888888889
2890199,2017-06-14,52,Pet supplies,8.0,1,44.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2,6,2017,13.0,7.0,12.714285714285714,12.0,15.11111111111111
2891981,2017-06-15,52,Pet supplies,12.0,0,44.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3,6,2017,11.0,9.0,11.571428571428571,16.0,15.444444444444445
2893763,2017-06-16,52,Pet supplies,8.0,0,44.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,4,6,2017,14.0,13.0,11.857142857142858,16.0,15.88888888888889
2895545,2017-06-17,52,Pet supplies,18.0,0,44.56666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,5,6,2017,12.0,18.0,12.142857142857142,17.0,15.222222222222221
