,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30
2852778,2017-05-24,52,Players and electronics,21.0,0,50.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,2,5,2017,21.0,37.0,34.714285714285715,33.0,35.888888888888886
2854560,2017-05-25,52,Players and electronics,31.0,0,48.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,5,2017,19.0,12.0,32.857142857142854,28.0,38.333333333333336
2856342,2017-05-26,52,Players and electronics,51.0,0,49.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,4,5,2017,16.0,33.0,29.142857142857142,28.0,39.111111111111114
2858124,2017-05-27,52,Players and electronics,35.0,0,49.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,5,2017,31.0,36.0,27.142857142857142,34.0,39.22222222222222
2859906,2017-05-28,52,Players and electronics,44.0,0,49.605000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,5,2017,26.0,32.0,24.142857142857142,38.0,37.44444444444444
2861688,2017-05-29,52,Players and electronics,30.0,0,49.6175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,5,2017,38.0,21.0,26.857142857142858,51.0,37.888888888888886
2863470,2017-05-30,52,Players and electronics,13.0,0,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,5,2017,30.0,19.0,25.857142857142858,45.0,36.111111111111114
2865252,2017-05-31,52,Players and electronics,17.0,0,48.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,5,2017,10.0,16.0,26.142857142857142,47.0,36.666666666666664
2867034,2017-06-01,52,Players and electronics,21.0,0,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,6,2017,24.0,31.0,25.857142857142858,33.0,36.888888888888886
2868816,2017-06-02,52,Players and electronics,28.0,0,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,6,2017,21.0,26.0,24.285714285714285,37.0,36.22222222222222
2870598,2017-06-03,52,Players and electronics,30.0,0,47.586666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,6,2017,16.0,38.0,25.0,12.0,32.888888888888886
2872380,2017-06-04,52,Players and electronics,40.0,2,47.49333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,6,2017,26.0,30.0,25.714285714285715,33.0,30.0
2874162,2017-06-05,52,Players and electronics,29.0,0,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,6,2017,47.0,10.0,23.571428571428573,36.0,26.555555555555557
2875944,2017-06-06,52,Players and electronics,21.0,0,48.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,6,2017,51.0,24.0,23.571428571428573,32.0,26.333333333333332
2877726,2017-06-07,52,Players and electronics,27.0,0,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,6,2017,31.0,21.0,24.857142857142858,21.0,25.11111111111111
