,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30
2852779,2017-05-24,52,Poultry,475.67398,0,50.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,2,5,2017,405.137,509.20502,512.1821457142856,536.276,485.7491111111111
2854561,2017-05-25,52,Poultry,432.346,0,48.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,5,2017,347.523,383.914,515.4257171428571,336.03,508.6562222222222
2856343,2017-05-26,52,Poultry,754.818,40,49.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,4,5,2017,359.417,566.911,478.5827171428572,414.857,514.5133333333333
2858125,2017-05-27,52,Poultry,507.178,0,49.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,5,2017,313.079,512.841,475.4355742857143,376.98,529.4991111111111
2859907,2017-05-28,52,Poultry,554.606,0,49.605000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,5,2017,582.87,602.518,454.0372857142857,689.046,508.255
2861689,2017-05-29,52,Poultry,325.111,0,49.6175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,5,2017,692.82,405.137,443.918,608.702,505.2471133333333
2863471,2017-05-30,52,Poultry,378.145,0,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,5,2017,501.024,347.523,446.1978571428572,579.813,510.56755777777784
2865253,2017-05-31,52,Poultry,463.693,0,48.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,5,2017,397.194,359.417,471.90914285714285,663.038,527.4624466666667
2867035,2017-06-01,52,Poultry,369.085,1,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,6,2017,416.784,313.079,457.40999999999997,369.553,542.5581133333333
2868817,2017-06-02,52,Poultry,652.942,44,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,6,2017,455.062,582.87,456.27528571428576,509.20502,532.9438911111112
