,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30
2852780,2017-05-24,52,Prepared foods,153.72101,1,50.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,2,5,2017,120.316,126.0,145.03757085714284,149.0,151.41111222222221
2854562,2017-05-25,52,Prepared foods,104.0,1,48.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,5,2017,113.372,114.270996,146.08514371428572,99.082,154.85477777777777
2856344,2017-05-26,52,Prepared foods,181.51,2,49.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,4,5,2017,111.817,134.972,134.01571514285715,149.498,155.44644444444444
2858126,2017-05-27,52,Prepared foods,155.637,2,49.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,5,2017,82.486,149.331,133.602858,138.709,163.53955555555555
2859908,2017-05-28,52,Prepared foods,151.049,1,49.605000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,5,2017,171.996,176.95801,131.57671514285715,204.3,155.09488888888887
2861690,2017-05-29,52,Prepared foods,175.789,2,49.6175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,5,2017,133.121,120.316,127.03600142857144,164.576,152.5393333333333
2863472,2017-05-30,52,Prepared foods,111.046,2,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,5,2017,113.682,113.372,132.3251442857143,169.625,154.22699955555558
2865254,2017-05-31,52,Prepared foods,147.34,1,48.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,5,2017,121.714,111.817,130.00943,204.802,152.61299955555558
2867036,2017-06-01,52,Prepared foods,110.0,0,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,6,2017,124.0,82.486,120.97,116.262,153.79322177777777
2868818,2017-06-02,52,Prepared foods,137.781,0,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,6,2017,147.552,171.996,121.16971428571428,126.0,150.75522288888888
2870600,2017-06-03,52,Prepared foods,183.70801,0,47.586666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,6,2017,157.604,133.121,122.688,114.270996,145.83744511111112
2872382,2017-06-04,52,Prepared foods,154.763,0,47.49333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,6,2017,148.504,113.682,127.79299999999999,134.972,139.58711177777775
2874164,2017-06-05,52,Prepared foods,130.325,0,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,6,2017,146.544,121.714,138.52414285714286,149.331,129.2554451111111
2875946,2017-06-06,52,Prepared foods,195.27899,0,48.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,6,2017,144.945,124.0,135.16814285714287,176.95801,125.50255622222224
2877728,2017-06-07,52,Prepared foods,231.0,0,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,6,2017,125.868,147.552,137.0857142857143,120.316,130.61322288888888
2879510,2017-06-08,52,Prepared foods,73.994,0,45.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,6,2017,142.658,157.604,141.55185714285716,113.372,132.7076677777778
2881292,2017-06-09,52,Prepared foods,102.393,0,45.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,6,2017,153.72101,148.504,142.1452857142857,111.817,130.34211222222223
2883074,2017-06-10,52,Prepared foods,145.97,0,45.913333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5,6,2017,104.0,146.544,144.81071428571428,82.486,127.27355666666666
2884856,2017-06-11,52,Prepared foods,176.198,0,46.00666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6,6,2017,181.51,144.945,145.69200142857144,171.996,121.38933333333333
2886638,2017-06-12,52,Prepared foods,101.363,0,46.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,6,2017,155.637,125.868,138.03428714285715,133.121,124.41555555555556
2888420,2017-06-13,52,Prepared foods,107.42,0,46.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,6,2017,151.049,142.658,142.74943,113.682,129.33022222222223
2890202,2017-06-14,52,Prepared foods,117.0,0,44.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2,6,2017,175.789,153.72101,144.04843,121.714,133.40655555555557
2891984,2017-06-15,52,Prepared foods,101.112,0,44.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3,6,2017,111.046,104.0,144.92042999999998,124.0,140.52411111111113
2893766,2017-06-16,52,Prepared foods,113.154,0,44.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,4,6,2017,147.34,181.51,152.05200142857143,147.552,137.51844444444444
2895548,2017-06-17,52,Prepared foods,128.117,0,44.56666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,5,6,2017,110.0,155.637,147.5360014285714,157.604,136.71255555555555
2897330,2017-06-18,52,Prepared foods,110.501,0,44.403333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,6,6,2017,137.781,151.049,146.62442857142858,148.504,139.9321111111111
2899112,2017-06-19,52,Prepared foods,128.378,0,44.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,6,2017,183.70801,175.789,147.48157142857144,146.544,143.48844555555556
2900894,2017-06-20,52,Prepared foods,109.328,0,43.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1,6,2017,154.763,111.046,141.23457142857143,144.945,141.26622333333333
2902676,2017-06-21,52,Prepared foods,141.297,0,42.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,2,6,2017,130.325,147.34,145.24471571428572,125.868,145.03933444444445
2904458,2017-06-22,52,Prepared foods,78.922,0,42.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,3,6,2017,195.27899,110.0,145.77528714285714,142.658,144.82077888888887
2906240,2017-06-23,52,Prepared foods,138.618,0,42.86,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,4,6,2017,231.0,137.781,139.28043,153.72101,145.10355666666666
2908022,2017-06-24,52,Prepared foods,116.477,0,42.986666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,5,6,2017,73.994,183.70801,151.31371428571427,104.0,148.3530011111111
2909804,2017-06-25,52,Prepared foods,105.0,0,43.11333333333334,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,25,6,6,2017,102.393,154.763,163.26514285714285,181.51,144.58644555555554
2911586,2017-06-26,52,Prepared foods,135.0,0,43.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,6,2017,145.97,130.325,158.1214285714286,155.637,146.97222333333332
2913368,2017-06-27,52,Prepared foods,145.183,0,44.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,1,6,2017,176.198,195.27899,153.066,151.049,143.34355666666667
2915150,2017-06-28,52,Prepared foods,143.406,0,44.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,2,6,2017,101.363,231.0,147.6748557142857,175.789,141.57244444444444
2916932,2017-06-29,52,Prepared foods,91.852,0,44.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,3,6,2017,107.42,73.994,150.73699857142856,111.046,150.42889000000002
2918714,2017-06-30,52,Prepared foods,96.682,0,46.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,4,6,2017,117.0,102.393,146.59957,147.34,147.4570011111111
2920496,2017-07-01,52,Prepared foods,155.172,0,45.838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,7,2017,101.112,145.97,134.0482857142857,110.0,144.6445566666667
2922278,2017-07-02,52,Prepared foods,123.621,0,45.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,7,2017,113.154,176.198,117.76257142857142,137.781,149.55900000000003
2924060,2017-07-03,52,Prepared foods,127.052,0,45.474000000000004,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,7,2017,128.117,101.363,121.63657142857143,183.70801,155.69355555555558
2925842,2017-07-04,52,Prepared foods,159.421,0,45.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,7,2017,110.501,107.42,123.17385714285714,154.763,151.57666666666668
2927624,2017-07-05,52,Prepared foods,123.0,0,45.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,7,2017,128.378,117.0,120.62342857142858,130.325,146.58255555555556
2929406,2017-07-06,52,Prepared foods,142.141,0,45.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3,7,2017,109.328,101.112,111.23814285714286,195.27899,150.57922222222223
2931188,2017-07-07,52,Prepared foods,105.948,0,44.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,4,7,2017,141.297,113.154,115.09742857142858,231.0,154.8477777777778
2932970,2017-07-08,52,Prepared foods,136.508,0,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,7,2017,78.922,128.117,115.36999999999999,73.994,145.6983322222222
