,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30
2852781,2017-05-24,52,Produce,7384.192,203,50.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,2,5,2017,4212.734,7648.975,5176.139999999999,5696.574,5145.044444444445
2854563,2017-05-25,52,Produce,4014.159,6,48.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,5,2017,3363.753,4078.496,5268.446142857143,3491.369,5354.637777777778
2856345,2017-05-26,52,Produce,6253.951,5,49.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,4,5,2017,7213.546,4415.93,5059.059714285715,7481.833,5319.434222222222
2858127,2017-05-27,52,Produce,4911.612,6,49.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,5,2017,3563.478,5350.755,5004.102,3902.847,5345.970333333333
2859909,2017-05-28,52,Produce,5052.158,7,49.605000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,5,2017,4804.584,5958.071,4941.897857142858,4580.814,5088.691777777778
2861691,2017-05-29,52,Produce,4074.648,5,49.6175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,5,2017,6295.124,4212.734,4868.323857142857,5905.965,5305.625222222223
2863473,2017-05-30,52,Produce,3731.27,7,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,5,2017,4549.322,3363.753,4923.845857142857,5311.928,5370.861555555555
2865255,2017-05-31,52,Produce,7416.242,187,48.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,5,2017,4720.06,7213.546,5058.755714285714,5678.439,5030.205666666667
2867037,2017-06-01,52,Produce,3471.447,0,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,6,2017,3768.718,3563.478,4857.505857142857,3748.457,5191.084333333333
2868819,2017-06-02,52,Produce,4537.041,0,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,6,2017,7707.061,4804.584,4929.981,7648.975,5344.112888888889
2870601,2017-06-03,52,Produce,5346.341,0,47.586666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,6,2017,3390.038,6295.124,4987.833142857143,4078.496,5155.976111111111
2872383,2017-06-04,52,Produce,5574.705,0,47.49333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,6,2017,4478.358,4549.322,5058.3352857142845,4415.93,4939.512222222223
2874165,2017-06-05,52,Produce,4194.839,0,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,6,2017,5766.654,4720.06,5033.558142857143,5350.755,5110.079666666667
2875947,2017-06-06,52,Produce,3356.686,0,48.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,6,2017,5890.037,3768.718,4986.954428571428,5958.071,5089.526444444445
2877729,2017-06-07,52,Produce,7571.5513,185,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,6,2017,4312.952,7707.061,4911.458714285714,4212.734,4773.483000000001
2879511,2017-06-08,52,Produce,3085.14,0,45.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,6,2017,3334.279,3390.038,5102.989428571428,3363.753,5019.775
2881293,2017-06-09,52,Produce,4358.925,0,45.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,6,2017,7384.192,4478.358,5044.831142857142,7213.546,5034.596333333333
2883075,2017-06-10,52,Produce,4846.779,1,45.913333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5,6,2017,4014.159,5766.654,4982.768428571429,3563.478,4964.519111111111
2884857,2017-06-11,52,Produce,5315.801,1,46.00666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6,6,2017,6253.951,5890.037,4936.644285714286,4804.584,4721.257666666666
2886639,2017-06-12,52,Produce,3798.286,1,46.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,6,2017,4911.612,4312.952,5025.804428571429,6295.124,5109.5162222222225
2888421,2017-06-13,52,Produce,3319.038,0,46.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,6,2017,5052.158,3334.279,5279.460571428572,4549.322,5112.436777777778
2890203,2017-06-14,52,Produce,7687.862,190,44.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2,6,2017,4074.648,7384.192,5157.3117142857145,4720.06,4808.527
2891985,2017-06-15,52,Produce,3431.079,1,44.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3,6,2017,3731.27,4014.159,5037.614714285714,3768.718,5053.324333333334
2893767,2017-06-16,52,Produce,4715.375,1,44.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,4,6,2017,7416.242,6253.951,5003.571285714286,7707.061,5173.930222222222
2895549,2017-06-17,52,Produce,6167.885,2,44.56666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,5,6,2017,3471.447,4911.612,5060.284285714285,3390.038,4953.68888888889
2897331,2017-06-18,52,Produce,4351.85,2,44.403333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,6,6,2017,4537.041,5052.158,5064.862857142857,4478.358,4818.684111111111
2899113,2017-06-19,52,Produce,3381.687,3,44.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,6,2017,5346.341,4074.648,4987.332571428572,5766.654,5114.698777777779
2900895,2017-06-20,52,Produce,3365.938,3,43.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1,6,2017,5574.705,3731.27,4742.059714285714,5890.037,5141.97
2902677,2017-06-21,52,Produce,6856.552,185,42.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,2,6,2017,4194.839,7416.242,4804.163857142857,4312.952,4980.513333333333
2904459,2017-06-22,52,Produce,3337.259,1,42.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,3,6,2017,3356.686,3471.447,4878.813428571429,3334.279,5149.577111111112
2906241,2017-06-23,52,Produce,4434.45,2,42.86,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,4,6,2017,7571.5513,4537.041,4895.983571428572,7384.192,5213.332666666667
2908023,2017-06-24,52,Produce,4750.427,1,42.986666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,5,6,2017,3085.14,5346.341,4842.471571428571,4014.159,5025.331999999999
2909805,2017-06-25,52,Produce,4356.135,0,43.11333333333334,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,25,6,6,2017,4358.925,5574.705,4864.658614285714,6253.951,4785.469000000001
2911587,2017-06-26,52,Produce,4898.356,0,43.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,6,2017,4846.779,4194.839,4809.4719,4911.612,5130.2789999999995
2913369,2017-06-27,52,Produce,3502.707,0,44.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,1,6,2017,5315.801,3356.686,4784.026757142857,5052.158,5145.519888888889
2915151,2017-06-28,52,Produce,7631.761,203,44.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,2,6,2017,3798.286,7571.5513,4712.660757142857,4074.648,4829.169777777777
2916933,2017-06-29,52,Produce,3311.611,7,44.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,3,6,2017,3319.038,3085.14,4675.674471428571,3731.27,4977.19
2918715,2017-06-30,52,Produce,4123.684,6,46.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,4,6,2017,7687.862,4358.925,4619.024042857143,7416.242,4901.718222222222
2920497,2017-07-01,52,Produce,5308.738,7,45.838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,7,2017,3431.079,4846.779,4613.645757142857,3471.447,4822.076777777777
2922279,2017-07-02,52,Produce,5352.387,6,45.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,7,2017,4715.375,5315.801,4630.261571428572,4537.041,4633.691
2924061,2017-07-03,52,Produce,5135.096,7,45.474000000000004,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,7,2017,6167.885,3798.286,4679.681428571429,5346.341,5022.235811111112
2925843,2017-07-04,52,Produce,3341.473,7,45.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,7,2017,4351.85,3319.038,4730.602857142857,5574.705,4950.443588888888
2927625,2017-07-05,52,Produce,7542.619,200,45.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,7,2017,3381.687,7687.862,4919.332285714286,4194.839,4610.7417000000005
2929407,2017-07-06,52,Produce,3586.941,10,45.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3,7,2017,3365.938,3431.079,4781.625,3356.686,4763.556366666667
2931189,2017-07-07,52,Produce,4622.857,10,44.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,4,7,2017,6856.552,4715.375,4722.110857142857,7571.5513,4850.085255555557
2932971,2017-07-08,52,Produce,5441.87,12,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,7,2017,3337.259,6167.885,4728.8108571428575,3085.14,4678.079144444445
2934753,2017-07-09,52,Produce,4860.864,11,44.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6,7,2017,4434.45,4351.85,4610.052285714286,4358.925,4427.449477777778
2936535,2017-07-10,52,Produce,4119.829,10,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,7,2017,4750.427,3381.687,4596.649428571428,4846.779,4815.563144444444
2938317,2017-07-11,52,Produce,3358.789,10,45.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1,7,2017,4356.135,3365.938,4556.517285714286,5315.801,4823.829033333333
2940099,2017-07-12,52,Produce,7391.614,207,45.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2,7,2017,4898.356,6856.552,4354.0232857142855,3798.286,4506.476111111111
2941881,2017-07-13,52,Produce,3809.04,8,46.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,3,7,2017,3502.707,3337.259,4354.635428571429,3319.038,4849.003333333333
2943663,2017-07-14,52,Produce,4699.696,6,46.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,4,7,2017,7631.761,4434.45,4571.302428571428,7687.862,4848.2172222222225
2945445,2017-07-15,52,Produce,5044.311,3,46.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,5,7,2017,3311.611,4750.427,4590.840857142857,3431.079,4685.429222222223
2947227,2017-07-16,52,Produce,5359.939,1,46.190000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,6,7,2017,4123.684,4356.135,4701.585,4715.375,4468.777777777777
2949009,2017-07-17,52,Produce,4598.879,1,46.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,7,2017,5308.738,4898.356,4697.921,6167.885,4808.585111111111
2950791,2017-07-18,52,Produce,3268.977,1,46.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,1,7,2017,5352.387,3502.707,4653.525857142857,4351.85,4810.609666666666
2952573,2017-07-19,52,Produce,7236.745,196,47.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2,7,2017,5135.096,7631.761,4733.284571428571,3381.687,4449.1194444444445
2954355,2017-07-20,52,Produce,3895.747,2,46.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,3,7,2017,3341.473,3311.611,4875.606285714285,3365.938,4595.7136666666665
2956137,2017-07-21,52,Produce,4474.332,5,45.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,4,7,2017,7542.619,4123.684,4909.426285714285,6856.552,4555.798111111111
