,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30
2852782,2017-05-24,52,School and office supplies,5.0,0,50.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,2,5,2017,20.0,60.0,69.0,132.0,112.0
2854564,2017-05-25,52,School and office supplies,7.0,0,48.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,5,2017,12.0,32.0,54.142857142857146,62.0,105.55555555555556
2856346,2017-05-26,52,School and office supplies,7.0,0,49.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,4,5,2017,24.0,19.0,36.57142857142857,66.0,111.22222222222223
2858128,2017-05-27,52,School and office supplies,4.0,0,49.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,5,2017,12.0,43.0,32.57142857142857,88.0,110.0
2859910,2017-05-28,52,School and office supplies,25.0,0,49.605000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,5,2017,11.0,42.0,27.428571428571427,81.0,95.11111111111111
2861692,2017-05-29,52,School and office supplies,1.0,0,49.6175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,5,2017,13.0,20.0,24.571428571428573,98.0,87.11111111111111
2863474,2017-05-30,52,School and office supplies,7.0,0,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,5,2017,18.0,12.0,23.428571428571427,146.0,83.77777777777777
2865256,2017-05-31,52,School and office supplies,8.0,0,48.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,5,2017,12.0,24.0,19.142857142857142,143.0,78.55555555555556
2867038,2017-06-01,52,School and office supplies,5.0,0,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,6,2017,25.0,12.0,15.714285714285714,40.0,73.55555555555556
2868820,2017-06-02,52,School and office supplies,3.0,0,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,6,2017,17.0,11.0,14.571428571428571,60.0,69.22222222222223
2870602,2017-06-03,52,School and office supplies,16.0,0,47.586666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,6,2017,2.0,13.0,16.428571428571427,32.0,60.55555555555556
2872384,2017-06-04,52,School and office supplies,2.0,0,47.49333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,6,2017,4.0,18.0,15.428571428571429,19.0,45.666666666666664
2874166,2017-06-05,52,School and office supplies,2.0,0,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,6,2017,5.0,12.0,14.0,43.0,32.44444444444444
