,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30
2852783,2017-05-24,52,Seafood,9.0,1,50.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,2,5,2017,5.484,4.0,10.272857142857143,6.284,9.300666666666666
2854565,2017-05-25,52,Seafood,25.0,1,48.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,5,2017,11.404,9.484,8.838714285714286,8.0,8.411777777777779
2856347,2017-05-26,52,Seafood,19.652,4,49.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,4,5,2017,11.404,2.512,7.336428571428571,7.0,9.411777777777779
2858129,2017-05-27,52,Seafood,25.644,1,49.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,5,2017,9.0,11.914,7.965571428571429,7.0,10.634
2859911,2017-05-28,52,Seafood,10.0,1,49.605000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,5,2017,12.706,10.961,9.023285714285715,4.0,9.142666666666667
2861693,2017-05-29,52,Seafood,16.0,1,49.6175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,5,2017,25.779,5.484,8.954142857142857,6.0,8.88888888888889
2863475,2017-05-30,52,Seafood,45.0,1,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,5,2017,20.754,11.404,10.410428571428572,21.0,9.053777777777777
2865257,2017-05-31,52,Seafood,5.0,1,48.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,5,2017,18.0,11.404,12.391142857142857,16.0,8.55511111111111
2867039,2017-06-01,52,Seafood,9.0,0,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,6,2017,11.0,9.0,13.790142857142857,7.0,9.101111111111111
2868821,2017-06-02,52,Seafood,3.0,2,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,6,2017,5.0,12.706,15.578142857142856,4.0,9.874555555555554
2870603,2017-06-03,52,Seafood,21.0,0,47.586666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,6,2017,6.0,25.779,15.520428571428571,9.484,9.81722222222222
2872385,2017-06-04,52,Seafood,10.0,0,47.49333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,6,2017,7.0,20.754,14.605571428571428,2.512,8.751
2874167,2017-06-05,52,Seafood,12.0,0,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,6,2017,23.328,18.0,14.177000000000001,11.914,8.240333333333332
2875949,2017-06-06,52,Seafood,7.0,0,48.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,6,2017,16.394,11.0,13.361857142857144,10.961,8.462555555555555
2877731,2017-06-07,52,Seafood,10.675,0,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,6,2017,10.488,5.0,13.011714285714286,5.484,9.42988888888889
2879513,2017-06-08,52,Seafood,5.0,0,45.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,6,2017,23.0,6.0,12.388857142857143,11.404,11.240444444444444
2881295,2017-06-09,52,Seafood,16.0,2,45.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,6,2017,9.0,7.0,11.315714285714284,11.404,13.267333333333333
2883077,2017-06-10,52,Seafood,8.222,0,45.913333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5,6,2017,25.0,23.328,13.03,9.0,13.943555555555555
2884859,2017-06-11,52,Seafood,3.0,0,46.00666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6,6,2017,19.652,16.394,13.60142857142857,12.706,13.94788888888889
2886641,2017-06-12,52,Seafood,4.0,0,46.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,6,2017,25.644,10.488,16.315714285714286,25.779,13.89411111111111
2888423,2017-06-13,52,Seafood,6.0,0,46.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,6,2017,10.0,23.0,18.123142857142856,20.754,13.293666666666667
2890205,2017-06-14,52,Seafood,8.0,0,44.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2,6,2017,16.0,9.0,18.454,18.0,12.804333333333334
2891987,2017-06-15,52,Seafood,4.452,0,44.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3,6,2017,45.0,25.0,17.54057142857143,11.0,14.396333333333335
2893769,2017-06-16,52,Seafood,6.0,3,44.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,4,6,2017,5.0,19.652,18.328,5.0,14.806111111111111
