,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181,sales_lag363,sales_window17_lag363
666152,2014-01-10,5,Hardware,1.0,0,92.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,1,2014,1.0,0.0,0.42857142857142855,3.0,0.8888888888888888,2.0,1.0,2.0,0.8461538461538461,1.0,0.8666666666666667,0.0,1.3529411764705883
667934,2014-01-11,5,Hardware,4.0,0,92.07666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,5,1,2014,0.0,0.0,0.42857142857142855,0.0,0.6666666666666666,0.0,0.6363636363636364,4.0,0.8461538461538461,2.0,1.2,1.0,1.1764705882352942
669716,2014-01-12,5,Hardware,5.0,0,91.76333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,6,1,2014,0.0,1.0,0.5714285714285714,0.0,0.7777777777777778,1.0,0.8181818181818182,1.0,0.8461538461538461,0.0,1.3333333333333333,1.0,1.2352941176470589
671498,2014-01-13,5,Hardware,3.0,0,91.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,1,2014,1.0,1.0,0.5714285714285714,0.0,0.6666666666666666,0.0,1.1818181818181819,0.0,0.8461538461538461,3.0,1.2,4.0,1.1764705882352942
673280,2014-01-14,5,Hardware,4.0,0,92.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,1,2014,1.0,1.0,0.5714285714285714,1.0,0.6666666666666666,1.0,1.0909090909090908,1.0,0.7692307692307693,0.0,1.0,1.0,1.1176470588235294
675062,2014-01-15,5,Hardware,1.0,0,93.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,1,2014,0.0,1.0,0.7142857142857143,1.0,0.3333333333333333,0.0,1.3636363636363635,1.0,0.8461538461538461,1.0,0.9333333333333333,1.0,1.0
676844,2014-01-16,5,Hardware,0.0,0,93.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,1,2014,1.0,0.0,0.7142857142857143,1.0,0.3333333333333333,0.0,1.3636363636363635,0.0,0.7692307692307693,0.0,0.9333333333333333,1.0,0.8823529411764706
678626,2014-01-17,5,Hardware,0.0,0,93.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,4,1,2014,1.0,0.0,0.5714285714285714,0.0,0.4444444444444444,3.0,1.4545454545454546,0.0,0.6153846153846154,0.0,1.0,1.0,0.8235294117647058
680408,2014-01-18,5,Hardware,3.0,0,94.0975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,1,2014,1.0,1.0,0.5714285714285714,0.0,0.5555555555555556,4.0,1.5454545454545454,0.0,0.3076923076923077,5.0,1.0,2.0,0.7647058823529411
682190,2014-01-19,5,Hardware,1.0,0,94.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,6,1,2014,1.0,1.0,0.5714285714285714,0.0,0.5555555555555556,1.0,1.9090909090909092,0.0,0.3076923076923077,2.0,0.9333333333333333,0.0,0.7647058823529411
683972,2014-01-20,5,Hardware,1.0,0,94.3725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,1,2014,0.0,0.0,0.7142857142857143,0.0,0.5555555555555556,3.0,1.8181818181818181,0.0,0.38461538461538464,0.0,1.0,1.0,0.7058823529411765
685754,2014-01-21,5,Hardware,0.0,0,94.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1,1,2014,2.0,1.0,0.8571428571428571,1.0,0.4444444444444444,2.0,1.8181818181818181,1.0,0.46153846153846156,0.0,0.8,0.0,0.6470588235294118
687536,2014-01-22,5,Hardware,1.0,0,96.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,2,1,2014,1.0,1.0,0.7142857142857143,1.0,0.4444444444444444,1.0,1.8181818181818181,0.0,0.46153846153846156,0.0,0.8,0.0,0.47058823529411764
689318,2014-01-23,5,Hardware,2.0,0,97.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,3,1,2014,5.0,1.0,0.8571428571428571,1.0,0.5555555555555556,2.0,1.6363636363636365,0.0,0.46153846153846156,0.0,0.8,0.0,0.4117647058823529
691100,2014-01-24,5,Hardware,2.0,0,96.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,4,1,2014,3.0,1.0,1.0,1.0,0.6666666666666666,4.0,1.2727272727272727,0.0,0.5384615384615384,1.0,0.8666666666666667,0.0,0.4117647058823529
692882,2014-01-25,5,Hardware,0.0,0,96.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,5,1,2014,3.0,0.0,1.5714285714285714,0.0,0.6666666666666666,0.0,1.1818181818181819,1.0,0.5384615384615384,1.0,1.1333333333333333,0.0,0.47058823529411764
694664,2014-01-26,5,Hardware,0.0,0,96.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,6,1,2014,1.0,2.0,1.8571428571428572,0.0,0.6666666666666666,0.0,0.9090909090909091,1.0,0.5384615384615384,1.0,1.1333333333333333,0.0,0.47058823529411764
696446,2014-01-27,5,Hardware,0.0,0,95.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,1,2014,4.0,1.0,2.142857142857143,1.0,0.6666666666666666,0.0,0.7272727272727273,2.0,0.5384615384615384,1.0,1.2,0.0,0.4117647058823529
698228,2014-01-28,5,Hardware,0.0,0,97.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,1,1,2014,5.0,5.0,2.142857142857143,1.0,0.6666666666666666,1.0,0.8181818181818182,1.0,0.5384615384615384,0.0,1.2,0.0,0.47058823529411764
700010,2014-01-29,5,Hardware,0.0,0,97.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,2,1,2014,3.0,3.0,2.7142857142857144,0.0,0.6666666666666666,0.0,0.7272727272727273,0.0,0.8461538461538461,0.0,1.2,0.0,0.4117647058823529
701792,2014-01-30,5,Hardware,1.0,0,98.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,3,1,2014,4.0,3.0,3.142857142857143,1.0,0.6666666666666666,0.0,0.36363636363636365,1.0,0.9230769230769231,1.0,1.2,1.0,0.47058823529411764
703574,2014-01-31,5,Hardware,0.0,0,97.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,4,1,2014,1.0,1.0,3.4285714285714284,1.0,0.8888888888888888,0.0,0.6363636363636364,0.0,0.9230769230769231,1.0,1.2,0.0,0.5882352941176471
705356,2014-02-01,5,Hardware,0.0,0,97.17999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,2,2014,0.0,4.0,3.2857142857142856,1.0,0.8888888888888888,0.0,0.6363636363636364,0.0,1.0,4.0,1.3333333333333333,1.0,0.5882352941176471
707138,2014-02-02,5,Hardware,0.0,0,96.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,2,2014,0.0,5.0,3.0,1.0,1.3333333333333333,2.0,0.7272727272727273,0.0,0.9230769230769231,5.0,1.2666666666666666,2.0,0.7647058823529411
708920,2014-02-03,5,Hardware,0.0,0,96.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,2,2014,3.0,3.0,2.5714285714285716,0.0,1.6666666666666667,1.0,0.6363636363636364,1.0,0.9230769230769231,3.0,1.5333333333333334,1.0,0.9411764705882353
710702,2014-02-04,5,Hardware,0.0,0,97.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,2,2014,1.0,4.0,2.4285714285714284,2.0,1.8888888888888888,0.0,0.9090909090909091,4.0,0.8461538461538461,0.0,1.5333333333333334,1.0,1.0
712484,2014-02-05,5,Hardware,1.0,0,97.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,2,2014,1.0,1.0,2.2857142857142856,1.0,1.8888888888888888,3.0,0.9090909090909091,1.0,0.9230769230769231,0.0,1.5333333333333334,1.0,1.1176470588235294
714266,2014-02-06,5,Hardware,9.0,0,97.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3,2,2014,0.0,0.0,1.7142857142857142,5.0,2.2222222222222223,0.0,0.9090909090909091,0.0,0.8461538461538461,0.0,1.5333333333333334,0.0,1.1176470588235294
716048,2014-02-07,5,Hardware,0.0,0,99.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,4,2,2014,1.0,0.0,1.4285714285714286,3.0,2.6666666666666665,1.0,0.9090909090909091,2.0,0.9230769230769231,0.0,1.5333333333333334,1.0,1.1764705882352942
717830,2014-02-08,5,Hardware,0.0,0,100.02666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,2,2014,2.0,3.0,0.8571428571428571,3.0,3.0,0.0,0.8181818181818182,0.0,0.9230769230769231,3.0,1.5333333333333334,2.0,1.1176470588235294
719612,2014-02-09,5,Hardware,0.0,0,100.07333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6,2,2014,2.0,1.0,0.8571428571428571,1.0,3.2222222222222223,3.0,0.8181818181818182,2.0,0.9230769230769231,0.0,1.4,0.0,1.1764705882352942
721394,2014-02-10,5,Hardware,0.0,0,100.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,2,2014,0.0,1.0,1.1428571428571428,4.0,3.2222222222222223,0.0,0.9090909090909091,0.0,1.0769230769230769,5.0,1.1333333333333333,3.0,1.1176470588235294
