,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181,sales_lag363,sales_window17_lag363
666162,2014-01-10,5,Meats,337.9828,0,92.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,1,2014,497.288,309.853,311.32585714285716,247.287,288.45044444444443,331.061,288.23045272727273,293.955,300.9951538461538,244.98601,310.72879933333337,262.67902,358.30000294117644
667944,2014-01-11,5,Meats,351.047,0,92.07666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,5,1,2014,301.332,257.647,316.83043142857144,286.398,293.2366666666667,360.586,286.8299072727273,339.008,299.7896923076923,272.28,303.02346600000004,350.702,349.6103547058824
669726,2014-01-12,5,Meats,408.969,0,91.76333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,6,1,2014,320.056,317.857,333.71986000000004,255.39,296.18,288.386,293.48763454545457,303.82,302.5406923076923,277.761,296.80679933333334,376.978,356.36229588235295
671508,2014-01-13,5,Meats,231.829,0,91.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,1,2014,471.515,329.684,338.61814571428573,248.077,301.9256666666667,223.396,304.86699999999996,395.755,300.92230615384614,345.282,296.236266,438.581,350.5333547058823
673290,2014-01-14,5,Meats,283.08002,0,92.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,1,2014,393.84,356.66602,340.0757171428572,284.986,289.11722222222227,279.059,303.5498181818182,343.832,312.0586907692308,330.539,289.05499933333334,316.186,340.44559
675072,2014-01-15,5,Meats,291.496,0,93.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,1,2014,346.643,497.288,370.6282885714286,315.677,296.069,225.545,298.48745454545457,251.408,311.52392153846154,286.08798,286.8917993333333,312.388,327.4684117647059
676854,2014-01-16,5,Meats,250.856,0,93.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,1,2014,344.571,301.332,381.4830028571428,318.134,292.8744444444444,301.147,296.9559090909091,338.077,311.84161384615385,301.22,291.555398,379.60098,329.60676470588237
678636,2014-01-17,5,Meats,404.7115,0,93.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,4,1,2014,339.941,320.056,383.90571714285716,379.062,299.81522222222225,318.308,283.76972727272727,242.554,310.05845999999997,238.645,289.14713133333333,247.759,329.43205882352936
680418,2014-01-18,5,Meats,371.96,0,94.0975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,1,2014,456.337,471.515,382.17785714285714,267.044,308.8826666666667,448.257,281.77727272727276,295.89,304.020536923077,279.545,291.6599986666667,300.251,330.41158823529406
682200,2014-01-19,5,Meats,394.242,0,94.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,6,1,2014,473.9333,393.84,359.6997142857143,309.853,316.84711333333337,275.308,294.47999999999996,343.63998,304.1209215384615,316.969,295.44066533333336,307.675,334.24799882352943
683982,2014-01-20,5,Meats,263.613,0,94.3725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,1,2014,363.926,346.643,381.84328571428574,257.647,337.02611333333334,232.309,297.19309090909087,449.522,296.23699846153846,351.523,300.12973200000005,467.425,331.68023529411767
685764,2014-01-21,5,Meats,250.345,0,94.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1,1,2014,331.48,344.571,403.8257571428571,317.857,335.1592244444445,314.214,304.4857272727273,250.693,299.3668446153846,308.408,297.19686533333334,308.272,324.4311176470588
687546,2014-01-22,5,Meats,242.59,0,96.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,2,1,2014,191.494,339.941,388.4559,329.684,328.60300222222224,215.538,300.6575454545454,205.787,306.5876123076923,252.032,291.3288653333333,295.333,313.6207058823529
689328,2014-01-23,5,Meats,264.199,0,97.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,3,1,2014,197.908,456.337,379.5473285714285,356.66602,351.32200222222224,266.469,289.56018181818183,270.774,297.52038153846155,290.08398,292.3819333333333,316.121,313.5881176470589
691110,2014-01-24,5,Meats,413.22598,0,96.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,4,1,2014,293.689,473.9333,357.38318571428573,497.288,360.6538911111111,363.126,263.98254545454546,260.515,293.60369,241.845,293.6474,264.344,315.94364705882356
