,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181,sales_lag363,sales_window17_lag363
666339,2014-01-10,6,Beverages,2663.0,0,92.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,1,2014,1622.0,1219.0,1554.7142857142858,1087.0,1469.3333333333333,1836.0,1400.0,887.0,1561.076923076923,981.0,1224.6666666666667,965.0,1420.1764705882354
668121,2014-01-11,6,Beverages,4332.0,0,92.07666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,5,1,2014,1967.0,1232.0,1492.142857142857,1133.0,1502.5555555555557,2742.0,1378.4545454545455,1782.0,1532.076923076923,1061.0,1226.4,1213.0,1450.9411764705883
669903,2014-01-12,6,Beverages,5598.0,0,91.76333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,6,1,2014,1226.0,1388.0,1499.7142857142858,1399.0,1596.4444444444443,1340.0,1469.2727272727273,1684.0,1452.0,1611.0,1268.1333333333334,1702.0,1526.8235294117646
671685,2014-01-13,6,Beverages,3083.0,0,91.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,1,2014,1690.0,1853.0,1613.142857142857,1360.0,1566.5555555555557,1191.0,1593.8181818181818,2289.0,1383.0,1658.0,1277.4,2266.0,1536.9411764705883
673467,2014-01-14,6,Beverages,2542.0,0,92.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,1,2014,1677.0,2011.0,1614.142857142857,1313.0,1481.5555555555557,1207.0,1621.7272727272727,1125.0,1469.3846153846155,1109.0,1220.2666666666667,1229.0,1480.1176470588234
675249,2014-01-15,6,Beverages,3087.0,0,93.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,1,2014,1443.0,1622.0,1679.5714285714287,1851.0,1496.2222222222222,841.0,1620.5454545454545,1023.0,1473.1538461538462,1284.0,1210.8666666666666,1274.0,1393.8235294117646
677031,2014-01-16,6,Beverages,2482.0,0,93.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,1,2014,1960.0,1967.0,1720.857142857143,2449.0,1507.2222222222222,1287.0,1554.6363636363637,1045.0,1451.5384615384614,1089.0,1200.8,1436.0,1378.1764705882354
678813,2014-01-17,6,Beverages,2930.0,0,93.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,4,1,2014,2089.0,1226.0,1662.2857142857142,1569.0,1506.0,2173.0,1397.6363636363637,1010.0,1466.3846153846155,1094.0,1207.2666666666667,1120.0,1378.0588235294117
680595,2014-01-18,6,Beverages,4575.0,0,94.0975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,1,2014,4232.0,1690.0,1655.0,1173.0,1560.7777777777778,2649.0,1375.4545454545455,1206.0,1408.0,1048.0,1213.9333333333334,1212.0,1408.1764705882354
682377,2014-01-19,6,Beverages,6054.0,0,94.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,6,1,2014,3486.0,1677.0,1721.7142857142858,1219.0,1638.3333333333333,1511.0,1447.0,2115.0,1375.8461538461538,1718.0,1250.3333333333333,2216.0,1486.8235294117646
