,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181,sales_lag363,sales_window17_lag363
666414,2014-01-10,8,Grocery i,3852.0,0,92.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,1,2014,6952.0,7321.0,6153.857142857143,4184.0,4939.111111111111,5563.0,3997.181818181818,3287.0,4077.846153846154,3120.0,3748.866666666667,2918.0,3620.764705882353
668196,2014-01-11,8,Grocery i,5034.0,0,92.07666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,5,1,2014,5680.0,5780.0,6294.857142857143,4568.0,5087.777777777777,5723.0,3909.090909090909,4606.0,4021.3076923076924,3114.0,3765.3333333333335,2905.0,3570.823529411765
669978,2014-01-12,8,Grocery i,5282.0,0,91.76333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,6,1,2014,4167.0,5639.0,6492.857142857143,5224.0,5362.222222222223,3616.0,4099.636363636364,4346.0,3860.230769230769,4780.0,3829.0,4074.0,3618.9411764705883
671760,2014-01-13,8,Grocery i,3448.0,0,91.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,1,2014,3958.0,6249.0,6439.428571428572,4289.0,5435.111111111111,3256.0,4217.727272727273,4431.0,3859.6923076923076,4190.0,3830.0666666666666,4722.0,3590.764705882353
673542,2014-01-14,8,Grocery i,3331.0,0,92.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,1,2014,3890.0,7455.0,5988.857142857143,4353.0,5502.888888888889,3873.0,4270.0,3466.0,4019.846153846154,3616.0,3717.8,2902.0,3465.705882352941
675324,2014-01-15,8,Grocery i,4007.0,0,93.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,1,2014,3130.0,6952.0,5728.571428571428,8820.0,5851.444444444444,2849.0,4222.0,3181.0,4057.4615384615386,3764.0,3684.6666666666665,2893.0,3373.529411764706
677106,2014-01-16,8,Grocery i,3132.0,0,93.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,1,2014,4431.0,5680.0,5478.714285714285,6468.0,5986.111111111111,3402.0,4093.6363636363635,4230.0,3997.923076923077,3641.0,3722.2,3600.0,3332.529411764706
678888,2014-01-17,8,Grocery i,3754.0,0,93.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,4,1,2014,3200.0,4167.0,5033.142857142857,5566.0,6032.222222222223,5466.0,3835.7272727272725,2940.0,4028.4615384615386,2972.0,3689.6,2948.0,3341.0
680670,2014-01-18,8,Grocery i,5422.0,0,94.0975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,1,2014,4662.0,3958.0,4601.142857142857,6054.0,6250.0,5483.0,3811.7272727272725,3493.0,3899.5384615384614,3516.0,3692.733333333333,2953.0,3371.4117647058824
682452,2014-01-19,8,Grocery i,5647.0,0,94.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,6,1,2014,4600.0,3890.0,4065.1428571428573,7321.0,6594.666666666667,3834.0,3988.6363636363635,5492.0,3821.4615384615386,4498.0,3754.5333333333333,4428.0,3442.5882352941176
684234,2014-01-20,8,Grocery i,3748.0,0,94.3725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,1,2014,6283.0,3130.0,3919.714285714286,5780.0,6387.111111111111,3377.0,4126.909090909091,5860.0,3863.0,4567.0,3711.8,4601.0,3433.3529411764707
686016,2014-01-21,8,Grocery i,3318.0,0,94.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1,1,2014,5965.0,4431.0,3981.5714285714284,5639.0,6299.555555555556,4151.0,4181.818181818182,3610.0,3966.076923076923,3440.0,3666.133333333333,3002.0,3360.9411764705883
687798,2014-01-22,8,Grocery i,3915.0,0,96.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,2,1,2014,4196.0,3200.0,4313.714285714285,6249.0,6144.111111111111,2886.0,4155.636363636364,3031.0,3984.5384615384614,3280.0,3630.4666666666667,2731.0,3273.294117647059
689580,2014-01-23,8,Grocery i,3142.0,0,97.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,3,1,2014,3670.0,4662.0,4610.142857142857,7455.0,5911.222222222223,3352.0,4021.818181818182,3684.0,3876.230769230769,3693.0,3642.4,3162.0,3256.764705882353
691362,2014-01-24,8,Grocery i,3656.0,0,96.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,4,1,2014,4317.0,4600.0,4762.428571428572,6952.0,5530.0,5202.0,3814.5454545454545,2930.0,3961.153846153846,3153.0,3665.4666666666667,2721.0,3284.176470588235
693144,2014-01-25,8,Grocery i,4768.0,0,96.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,5,1,2014,3160.0,6283.0,4653.714285714285,5680.0,5235.555555555556,5394.0,3828.0,3331.0,3941.923076923077,3167.0,3731.133333333333,2876.0,3350.235294117647
694926,2014-01-26,8,Grocery i,5192.0,0,96.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,6,1,2014,3852.0,5965.0,4813.285714285715,4167.0,5101.333333333333,3453.0,4006.7272727272725,4971.0,3811.3846153846152,4041.0,3815.866666666667,3878.0,3428.5882352941176
696708,2014-01-27,8,Grocery i,3362.0,0,95.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,1,2014,5034.0,4196.0,4598.714285714285,3958.0,4762.555555555556,3114.0,4245.727272727273,4806.0,3756.6923076923076,4139.0,3828.9333333333334,4128.0,3445.8823529411766
698490,2014-01-28,8,Grocery i,2947.0,0,97.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,1,1,2014,5282.0,3670.0,4491.857142857143,3890.0,4452.222222222223,3994.0,4520.818181818182,3421.0,3955.5384615384614,3505.0,3804.9333333333334,2748.0,3364.529411764706
700272,2014-01-29,8,Grocery i,3464.0,0,97.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,2,1,2014,3448.0,4317.0,4313.428571428572,3130.0,4190.888888888889,3203.0,4584.363636363636,2822.0,4058.6153846153848,3081.0,3794.0,2843.0,3319.5882352941176
702054,2014-01-30,8,Grocery i,3111.0,0,98.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,3,1,2014,3331.0,3160.0,4215.857142857143,4431.0,4257.888888888889,3982.0,4512.090909090909,4044.0,4034.4615384615386,3943.0,3834.3333333333335,3232.0,3311.529411764706
703836,2014-01-31,8,Grocery i,3767.0,0,97.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,4,1,2014,4007.0,3852.0,4109.0,3200.0,4457.666666666667,5343.0,4701.909090909091,3243.0,4130.923076923077,3987.0,3798.6,2621.0,3321.1176470588234
705618,2014-02-01,8,Grocery i,5506.0,0,97.17999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,2,2014,3132.0,5034.0,4060.5714285714284,4662.0,4484.111111111111,6780.0,4751.454545454545,3795.0,4125.384615384615,3957.0,3829.0,3359.0,3351.470588235294
