,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181,sales_lag363,sales_window17_lag363
666430,2014-01-10,8,Poultry,959.7936,0,92.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,1,2014,953.811,1218.838,818.9530042857143,628.79,640.8475555555556,937.208,631.3940909090909,146.88501,263.3863853846154,205.35501,252.22053400000001,129.997,268.3010582352941
668212,2014-01-11,8,Poultry,852.775,0,92.07666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,5,1,2014,608.743,549.786,796.3291471428572,604.274,670.3896666666666,952.166,676.1443636363637,377.797,248.43492384615382,286.544,255.01366866666666,355.788,264.6245288235294
669994,2014-01-12,8,Poultry,830.026,0,91.76333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,6,1,2014,652.824,883.774,826.8730042857143,624.329,695.7692222222222,676.934,701.5666363636363,262.741,247.4674623076923,343.59,255.92920199999998,268.092,268.65970529411766
671776,2014-01-13,8,Poultry,615.035,0,91.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,1,2014,585.465,832.853,821.6508571428573,566.959,701.9685555555556,513.226,727.0056363636363,266.531,242.98530846153847,268.148,256.09766866666666,355.949,264.6861170588235
673558,2014-01-14,8,Poultry,600.87,0,92.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,1,2014,463.792,703.751,740.7917142857143,802.762,685.2804477777777,584.775,736.5296363636363,221.082,254.69977000000003,238.125,250.10920199999998,236.91301,254.89064647058822
675340,2014-01-15,8,Poultry,725.505,0,93.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,1,2014,404.24,953.811,745.8887142857144,692.99,750.8413366666666,447.367,712.7238181818182,134.755,257.49246230769234,212.797,248.88933533333332,229.134,245.70423529411764
677122,2014-01-16,8,Poultry,550.566,0,93.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,1,2014,660.145,608.743,685.8912857142857,862.118,744.7871144444445,781.324,686.4474545454545,212.265,253.22530846153848,237.873,250.57606866666666,205.285,239.7444705882353
678904,2014-01-17,8,Poultry,858.1469,0,93.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,4,1,2014,425.432,652.824,624.6608571428571,740.004,773.6143366666666,828.511,642.3801818181818,183.457,258.0127692307692,214.47,246.01100200000002,187.539,248.38923529411767
680686,2014-01-18,8,Poultry,1006.586,0,94.0975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,1,2014,650.251,585.465,618.4314285714287,645.29803,803.1581144444444,886.104,659.3472727272728,344.178,242.5137692307692,258.67902,249.339668,299.031,250.09635294117646
682468,2014-01-19,8,Poultry,982.516,0,94.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,6,1,2014,710.8082,463.792,542.9487142857143,1218.838,792.1568922222223,632.962,689.6835454545454,310.233,250.54484615384615,315.668,248.76373466666666,301.58,259.1095294117647
684250,2014-01-20,8,Poultry,644.992,0,94.3725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,1,2014,869.359,404.24,548.8784285714286,549.786,821.1370033333334,599.385,715.0269090909092,404.124,253.26792307692307,285.616,243.05693466666665,346.198,249.43829411764705
