,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181,sales_lag363,sales_window17_lag363
666434,2014-01-10,8,Seafood,99.2155,0,92.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,1,2014,30.322,57.193,52.274,18.466,48.313221999999996,59.504,47.28436363636364,31.262001,52.86369269230769,41.818,48.52966666666667,37.853,61.59470558823529
668216,2014-01-11,8,Seafood,82.89,0,92.07666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,5,1,2014,42.264,37.606,49.324000000000005,45.476,51.069888666666664,58.173,49.480363636363634,68.153,49.026000076923076,58.098,49.4548,88.43,61.54152911764706
669998,2014-01-12,8,Seafood,88.696,0,91.76333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,6,1,2014,41.101,53.459,47.22857142857142,42.864998,51.31677755555555,43.595,53.09545454545455,47.9,46.78530776923076,58.939,49.824466666666666,68.906,63.28688205882354
671780,2014-01-13,8,Seafood,56.146,0,91.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,1,2014,61.265,44.833,44.11442857142857,41.585,49.29866644444444,33.464,56.0695450909091,47.182,46.00038469230769,40.735,48.431133333333335,97.410995,62.82752911764705
673562,2014-01-14,8,Seafood,54.804,0,92.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,1,2014,37.48,43.124,41.81557142857143,81.19,51.40344422222222,57.989,54.63345418181819,34.974,47.091077,45.27,46.230000000000004,44.154,62.02799952941176
675344,2014-01-15,8,Seafood,69.727,0,93.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,1,2014,35.729,30.322,45.19542857142857,60.222,55.706444222222224,34.228,51.124363272727265,41.36,46.953384692307694,43.256,45.88653333333333,53.011,60.02147023529412
677126,2014-01-16,8,Seafood,36.313,0,93.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,1,2014,58.527,42.264,42.91271428571429,63.774,54.83199977777778,80.658,48.62918145454545,42.714,45.62930776923077,58.828,44.891533333333335,69.746,60.27564670588235
678908,2014-01-17,8,Seafood,104.7557,0,93.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,4,1,2014,42.665,41.101,41.61214285714285,44.99,56.00911111111111,71.873,46.54427236363636,38.297,46.058615538461545,28.67,44.81293333333333,49.012,61.53399964705882
680690,2014-01-18,8,Seafood,90.213,0,94.0975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,1,2014,38.752,61.265,43.812571428571424,64.063,56.37,69.826996,47.55345418181818,51.146,43.06869246153846,57.616,44.6576668,84.066,62.03770552941176
682472,2014-01-19,8,Seafood,75.302,0,94.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,6,1,2014,76.0681,37.48,45.575857142857146,57.193,52.14044444444445,26.395,49.46836327272728,75.291,42.925230923076924,58.776,43.741800133333335,71.38,63.478882000000006
684254,2014-01-20,8,Seafood,54.462997,0,94.3725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,1,2014,85.127,35.729,45.07414285714286,37.606,48.818222222222225,26.662,48.59990845454545,58.822,44.72900015384615,39.937,43.14006693333333,73.112,61.60023494117647
686036,2014-01-21,8,Seafood,28.319,0,94.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1,1,2014,84.305,58.527,50.06944285714285,53.459,46.428222222222225,32.057,49.301635727272725,27.044,45.803000153846156,25.413,43.2705336,41.699,60.11794082352941
