store_nbr,family
1,Automotive
1,Beauty
1,Beverages
1,Books
1,Bread/bakery
1,Celebration
1,Cleaning
1,Dairy
1,Deli
1,Eggs
1,Frozen foods
1,Grocery i
1,Grocery ii
1,Hardware
1,Home and kitchen i
1,Home and kitchen ii
1,Home appliances
1,Home care
1,Ladieswear
1,Lawn and garden
1,Lingerie
1,"Liquor,wine,beer"
1,Magazines
1,Meats
1,Personal care
1,Pet supplies
1,Players and electronics
1,Poultry
1,Prepared foods
1,Produce
1,Seafood
2,Automotive
2,Beauty
2,Beverages
2,Bread/bakery
2,Celebration
2,Cleaning
2,Dairy
2,Deli
2,Eggs
2,Frozen foods
2,Grocery i
2,Grocery ii
2,Hardware
2,Home and kitchen i
2,Home and kitchen ii
2,Home appliances
2,Home care
2,Ladieswear
2,Lawn and garden
2,Lingerie
2,"Liquor,wine,beer"
2,Magazines
2,Meats
2,Personal care
2,Pet supplies
2,Players and electronics
2,Poultry
2,Prepared foods
2,Produce
2,Seafood
3,Automotive
3,Baby care
3,Beauty
3,Beverages
3,Bread/bakery
3,Celebration
3,Cleaning
3,Dairy
3,Deli
3,Eggs
3,Frozen foods
3,Grocery i
3,Grocery ii
3,Hardware
3,Home and kitchen i
3,Home and kitchen ii
3,Home appliances
3,Home care
3,Ladieswear
3,Lawn and garden
3,Lingerie
3,"Liquor,wine,beer"
3,Magazines
3,Meats
3,Personal care
3,Pet supplies
3,Players and electronics
3,Poultry
3,Prepared foods
3,Produce
3,School and office supplies
3,Seafood
4,Automotive
4,Baby care
4,Beauty
4,Beverages
4,Books
4,Bread/bakery
4,Celebration
4,Cleaning
4,Dairy
4,Deli
4,Eggs
4,Frozen foods
4,Grocery i
4,Grocery ii
4,Hardware
4,Home and kitchen i
4,Home and kitchen ii
4,Home appliances
4,Home care
4,Ladieswear
4,Lawn and garden
4,Lingerie
4,"Liquor,wine,beer"
4,Magazines
4,Meats
4,Personal care
4,Pet supplies
4,Players and electronics
4,Poultry
4,Prepared foods
4,Produce
4,School and office supplies
4,Seafood
5,Automotive
5,Baby care
5,Beauty
5,Beverages
5,Bread/bakery
5,Celebration
5,Cleaning
5,Dairy
5,Deli
5,Eggs
5,Frozen foods
5,Grocery i
5,Grocery ii
5,Hardware
5,Home and kitchen i
5,Home and kitchen ii
5,Home appliances
5,Home care
5,Ladieswear
5,Lawn and garden
5,Lingerie
5,"Liquor,wine,beer"
5,Magazines
5,Meats
5,Personal care
5,Pet supplies
5,Players and electronics
5,Poultry
5,Prepared foods
5,Produce
5,School and office supplies
5,Seafood
6,Automotive
6,Baby care
6,Beauty
6,Beverages
6,Bread/bakery
6,Celebration
6,Cleaning
6,Dairy
6,Deli
6,Eggs
6,Frozen foods
6,Grocery i
6,Grocery ii
6,Hardware
6,Home and kitchen i
6,Home and kitchen ii
6,Home appliances
6,Home care
6,Ladieswear
6,Lawn and garden
6,Lingerie
6,"Liquor,wine,beer"
6,Magazines
6,Meats
6,Personal care
6,Pet supplies
6,Players and electronics
6,Poultry
6,Prepared foods
6,Produce
6,Seafood
7,Automotive
7,Baby care
7,Beauty
7,Beverages
7,Books
7,Bread/bakery
7,Celebration
7,Cleaning
7,Dairy
7,Deli
7,Eggs
7,Frozen foods
7,Grocery i
7,Grocery ii
7,Hardware
7,Home and kitchen i
7,Home and kitchen ii
7,Home appliances
7,Home care
7,Ladieswear
7,Lawn and garden
7,Lingerie
7,"Liquor,wine,beer"
7,Magazines
7,Meats
7,Personal care
7,Pet supplies
7,Players and electronics
7,Poultry
7,Prepared foods
7,Produce
7,School and office supplies
7,Seafood
8,Automotive
8,Baby care
8,Beauty
8,Beverages
8,Books
8,Bread/bakery
8,Celebration
8,Cleaning
8,Dairy
8,Deli
8,Eggs
8,Frozen foods
8,Grocery i
8,Grocery ii
8,Hardware
8,Home and kitchen i
8,Home and kitchen ii
8,Home appliances
8,Home care
8,Ladieswear
8,Lawn and garden
8,Lingerie
8,"Liquor,wine,beer"
8,Magazines
8,Meats
8,Personal care
8,Pet supplies
8,Players and electronics
8,Poultry
8,Prepared foods
8,Produce
8,School and office supplies
8,Seafood
9,Automotive
9,Baby care
9,Beauty
9,Beverages
9,Bread/bakery
9,Celebration
9,Cleaning
9,Dairy
9,Deli
9,Eggs
9,Frozen foods
9,Grocery i
9,Grocery ii
9,Hardware
9,Home and kitchen i
9,Home and kitchen ii
9,Home appliances
9,Home care
9,Ladieswear
9,Lawn and garden
9,Lingerie
9,"Liquor,wine,beer"
9,Magazines
9,Meats
9,Personal care
9,Pet supplies
9,Players and electronics
9,Poultry
9,Prepared foods
9,Produce
9,School and office supplies
9,Seafood
10,Automotive
10,Beauty
10,Beverages
10,Bread/bakery
10,Celebration
10,Cleaning
10,Dairy
10,Deli
10,Eggs
10,Frozen foods
10,Grocery i
10,Grocery ii
10,Hardware
10,Home and kitchen i
10,Home and kitchen ii
10,Home appliances
10,Home care
10,Ladieswear
10,Lingerie
10,"Liquor,wine,beer"
10,Magazines
10,Meats
10,Personal care
10,Pet supplies
10,Players and electronics
10,Poultry
10,Prepared foods
10,Produce
10,School and office supplies
10,Seafood
11,Automotive
11,Baby care
11,Beauty
11,Beverages
11,Bread/bakery
11,Celebration
11,Cleaning
11,Dairy
11,Deli
11,Eggs
11,Frozen foods
11,Grocery i
11,Grocery ii
11,Hardware
11,Home and kitchen i
11,Home and kitchen ii
11,Home appliances
11,Home care
11,Ladieswear
11,Lawn and garden
11,Lingerie
11,"Liquor,wine,beer"
11,Magazines
11,Meats
11,Personal care
11,Pet supplies
11,Players and electronics
11,Poultry
11,Prepared foods
11,Produce
11,School and office supplies
11,Seafood
12,Automotive
12,Beauty
12,Beverages
12,Bread/bakery
12,Celebration
12,Cleaning
12,Dairy
12,Deli
12,Eggs
12,Frozen foods
12,Grocery i
12,Grocery ii
12,Hardware
12,Home and kitchen i
12,Home and kitchen ii
12,Home appliances
12,Home care
12,Ladieswear
12,Lingerie
12,"Liquor,wine,beer"
12,Magazines
12,Meats
12,Personal care
12,Pet supplies
12,Players and electronics
12,Poultry
12,Prepared foods
12,Produce
12,School and office supplies
12,Seafood
13,Automotive
13,Beauty
13,Beverages
13,Bread/bakery
13,Celebration
13,Cleaning
13,Dairy
13,Deli
13,Eggs
13,Frozen foods
13,Grocery i
13,Grocery ii
13,Hardware
13,Home and kitchen i
13,Home and kitchen ii
13,Home appliances
13,Home care
13,Ladieswear
13,Lingerie
13,"Liquor,wine,beer"
13,Magazines
13,Meats
13,Personal care
13,Pet supplies
13,Players and electronics
13,Poultry
13,Prepared foods
13,Produce
13,School and office supplies
13,Seafood
14,Automotive
14,Beauty
14,Beverages
14,Bread/bakery
14,Celebration
14,Cleaning
14,Dairy
14,Deli
14,Eggs
14,Frozen foods
14,Grocery i
14,Grocery ii
14,Hardware
14,Home and kitchen i
14,Home and kitchen ii
14,Home appliances
14,Home care
14,Ladieswear
14,Lingerie
14,"Liquor,wine,beer"
14,Magazines
14,Meats
14,Personal care
14,Pet supplies
14,Players and electronics
14,Poultry
14,Prepared foods
14,Produce
14,School and office supplies
14,Seafood
15,Automotive
15,Baby care
15,Beauty
15,Beverages
15,Bread/bakery
15,Celebration
15,Cleaning
15,Dairy
15,Deli
15,Eggs
15,Frozen foods
15,Grocery i
15,Grocery ii
15,Hardware
15,Home and kitchen i
15,Home and kitchen ii
15,Home appliances
15,Home care
15,Ladieswear
15,Lingerie
15,"Liquor,wine,beer"
15,Magazines
15,Meats
15,Personal care
15,Pet supplies
15,Players and electronics
15,Poultry
15,Prepared foods
15,Produce
15,School and office supplies
15,Seafood
16,Automotive
16,Baby care
16,Beauty
16,Beverages
16,Bread/bakery
16,Celebration
16,Cleaning
16,Dairy
16,Deli
16,Eggs
16,Frozen foods
16,Grocery i
16,Grocery ii
16,Hardware
16,Home and kitchen i
16,Home and kitchen ii
16,Home appliances
16,Home care
16,Lingerie
16,"Liquor,wine,beer"
